Country,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
India,85.56,193607,0.44,513708,0.17,0.4542,1577
United States,30.54,14041,2.17,32393,0.94,0.4668,146
Kenya,6.34,3258,1.95,5454,1.16,0.4176,136
United Arab Emirates,4.41,3086,1.43,7728,0.57,0.4372,44
United Kingdom,2.33,1833,1.27,3917,0.59,0.4513,19
Singapore,2.15,1729,1.24,5156,0.42,0.4493,12
Germany,1.21,1492,0.81,3109,0.39,0.4351,7
Uganda,2.43,1304,1.86,1948,1.25,0.4518,45
Pakistan,0.80,1128,0.71,1734,0.46,0.4549,26
Canada,2.16,1094,1.98,2880,0.75,0.4932,10
Brazil,0.68,902,0.76,2663,0.26,0.4498,9
Philippines,0.55,891,0.62,2231,0.25,0.4891,14
Australia,1.19,757,1.57,2157,0.55,0.4826,7
Netherlands,0.30,754,0.40,1686,0.18,0.4185,3
Tanzania,0.67,739,0.91,996,0.67,0.3945,28
Saudi Arabia,0.90,688,1.31,1988,0.45,0.4613,12
France,0.20,584,0.33,1363,0.14,0.4645,1
Nigeria,0.90,575,1.57,1068,0.85,0.4598,21
South Africa,2.67,567,4.71,1237,2.16,0.4356,22
Oman,0.22,559,0.39,1138,0.19,0.4065,2
Malaysia,0.30,545,0.55,1433,0.21,0.4871,5
Russia,0.26,539,0.48,530,0.48,0.4472,2
Zambia,0.90,503,1.79,770,1.17,0.4231,17
Unknown Region,0.01,494,0.02,259,0.04,0.5294,1
Indonesia,0.22,479,0.46,1209,0.18,0.4664,2
Burkina Faso,2.58,432,5.97,630,4.09,0.3805,50
Qatar,0.23,432,0.54,1185,0.20,0.4052,2
Spain,0.57,404,1.42,969,0.59,0.4736,6
South Korea,0.42,378,1.12,781,0.54,0.4188,4
Japan,0.27,356,0.75,950,0.28,0.4372,1
Italy,0.43,344,1.24,833,0.51,0.4655,2
Jordan,0.14,338,0.41,688,0.20,0.4521,2
Ukraine,0.09,330,0.28,496,0.19,0.4173,2
Hong Kong,0.07,324,0.22,751,0.10,0.4667,1
Sweden,0.63,322,1.96,655,0.96,0.4855,5
Egypt,0.16,316,0.51,682,0.24,0.4612,2
Vietnam,0.02,314,0.07,813,0.03,0.4856,1
Ireland,0.02,295,0.07,471,0.04,0.5255,0
Kuwait,0.15,262,0.56,673,0.22,0.4112,3
Mexico,0.22,253,0.88,566,0.40,0.492,3
Switzerland,0.11,205,0.53,462,0.24,0.449,0
Poland,0.23,196,1.16,505,0.45,0.4879,1
Bhutan,0.01,180,0.08,373,0.04,0.376,1
China,0.12,180,0.69,369,0.34,0.5095,1
Turkey,0.03,174,0.19,416,0.08,0.3811,1
Thailand,0.02,172,0.10,453,0.04,0.4483,0
Belgium,0.02,164,0.10,342,0.05,0.3894,0
Luxembourg,0.00,159,0.00,127,0.01,0.4488,0
Ghana,0.09,154,0.61,262,0.36,0.4694,2
Bangladesh,0.00,152,0.01,254,0.01,0.4177,0
Colombia,0.02,146,0.13,326,0.06,0.4414,0
Zimbabwe,0.15,143,1.06,142,1.07,0.3448,4
Israel,0.04,138,0.27,329,0.11,0.5,0
Peru,0.05,137,0.36,346,0.14,0.4393,2
Norway,0.25,126,1.96,311,0.79,0.418,2
Denmark,0.02,120,0.14,283,0.06,0.4947,0
Sri Lanka,0.00,119,0.02,288,0.01,0.4394,0
Nepal,0.02,118,0.14,197,0.08,0.5306,1
Ethiopia,0.01,115,0.11,243,0.05,0.5096,1
Mali,0.42,111,3.80,168,2.51,0.4768,14
New Zealand,0.19,111,1.67,270,0.69,0.4222,1
Czechia,0.00,110,0.04,202,0.02,0.41,0
Côte d’Ivoire,0.35,106,3.26,172,2.01,0.4094,10
Morocco,0.00,105,0.03,228,0.02,0.5066,0
Portugal,0.18,103,1.74,288,0.62,0.4774,1
Finland,0.01,102,0.08,191,0.04,0.4632,0
Tunisia,0.00,90,0.02,198,0.01,0.5026,0
Myanmar (Burma),0.05,88,0.54,198,0.24,0.4824,1
Austria,0.01,86,0.09,187,0.04,0.4663,0
Taiwan,0.01,84,0.16,217,0.06,0.4837,0
Bahrain,0.01,76,0.12,199,0.05,0.5155,0
Argentina,0.01,73,0.10,162,0.05,0.45,0
Sierra Leone,0.14,72,1.89,92,1.48,0.3415,5
Cambodia,0.00,70,0.06,117,0.03,0.3772,0
Rwanda,0.09,68,1.40,72,1.32,0.3939,3
Botswana,0.20,63,3.24,79,2.58,0.5,2
Romania,0.00,62,0.03,137,0.01,0.4015,0
Cameroon,0.09,59,1.59,77,1.22,0.4,3
Ecuador,0.03,58,0.43,163,0.15,0.4819,2
Iraq,0.06,58,1.12,66,0.98,0.4328,1
Haiti,0.04,55,0.81,70,0.64,0.2903,2
Algeria,0.01,53,0.19,72,0.14,0.3636,3
Chile,0.01,53,0.28,179,0.08,0.4972,1
Greece,0.00,51,0.02,131,0.01,0.458,0
Congo - Kinshasa,0.19,47,3.97,60,3.11,0.4423,3
Hungary,0.00,45,0.05,78,0.03,0.3846,0
Malawi,0.47,45,10.44,90,5.22,0.4756,11
Mozambique,0.04,43,0.91,31,1.27,0.2222,1
Belarus,0.00,41,0.03,93,0.01,0.5161,0
Lithuania,0.00,38,0.01,96,0.01,0.3021,0
Bulgaria,0.00,36,0.03,96,0.01,0.3936,0
Yemen,0.00,34,0.00,18,0.01,0.2778,0
Mauritius,0.00,29,0.02,85,0.01,0.4167,0
Gambia,0.00,28,0.00,33,0.00,0.4583,0
Somalia,0.00,26,0.10,34,0.08,0.3448,0
Niger,0.00,25,0.00,38,0.00,0.2667,0
Guinea,0.00,24,0.00,23,0.00,0.4091,0
Serbia,0.00,24,0.07,65,0.02,0.5077,0
Cyprus,0.00,23,0.03,59,0.01,0.4237,0
Jamaica,0.00,23,0.06,35,0.04,0.4286,0
Costa Rica,0.00,22,0.14,71,0.04,0.4225,0
Azerbaijan,0.00,21,0.04,44,0.02,0.4091,0
