"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","3,235.35","3,249.90","3,207.00","3,192.95","3,240.00","3,240.70","3,236.48","3,582.90","2,560.00","1,104,861","3,575,856,348.15","93,247"
"31-May-2023","EQ","3,151.95","3,219.35","3,136.45","3,144.40","3,195.00","3,192.95","3,190.32","3,582.90","2,560.00","2,349,066","7,494,260,796.65","106,339"
"30-May-2023","EQ","3,146.90","3,155.00","3,127.55","3,137.40","3,141.45","3,144.40","3,143.77","3,582.90","2,560.00","506,026","1,590,827,208.40","48,386"
"29-May-2023","EQ","3,147.20","3,155.00","3,116.05","3,128.40","3,139.00","3,137.40","3,129.99","3,582.90","2,560.00","535,712","1,676,774,540.05","43,842"
"26-May-2023","EQ","3,123.00","3,136.95","3,111.75","3,123.55","3,127.00","3,128.40","3,126.59","3,582.90","2,560.00","568,249","1,776,683,403.35","34,782"
"25-May-2023","EQ","3,101.50","3,129.00","3,086.00","3,101.50","3,119.90","3,123.55","3,110.46","3,582.90","2,560.00","500,313","1,556,205,162.55","35,448"
"24-May-2023","EQ","3,115.00","3,133.15","3,098.00","3,120.60","3,101.00","3,101.50","3,112.96","3,582.90","2,560.00","439,465","1,368,037,166.55","36,302"
"23-May-2023","EQ","3,087.00","3,127.95","3,085.00","3,084.90","3,117.00","3,120.60","3,116.44","3,582.90","2,560.00","581,204","1,811,289,391.65","47,234"
"22-May-2023","EQ","3,070.00","3,105.60","3,046.00","3,084.45","3,087.00","3,084.90","3,083.20","3,582.90","2,560.00","659,425","2,033,136,415.00","53,673"
"19-May-2023","EQ","3,124.00","3,127.95","3,068.05","3,109.05","3,085.00","3,084.45","3,090.74","3,582.90","2,560.00","633,262","1,957,246,280.10","56,554"
"18-May-2023","EQ","3,105.65","3,125.00","3,093.25","3,092.45","3,109.20","3,109.05","3,111.03","3,582.90","2,560.00","498,067","1,549,499,468.00","52,766"
"17-May-2023","EQ","3,136.00","3,147.95","3,075.55","3,138.10","3,096.00","3,092.45","3,100.01","3,582.90","2,560.00","835,371","2,589,661,628.75","69,335"
"16-May-2023","EQ","3,132.00","3,165.70","3,122.35","3,132.00","3,135.00","3,138.10","3,147.85","3,582.90","2,560.00","822,404","2,588,802,311.35","68,581"
"15-May-2023","EQ","3,134.20","3,168.00","3,121.05","3,131.10","3,128.50","3,132.00","3,149.90","3,582.90","2,560.00","810,281","2,552,306,646.95","61,904"
"12-May-2023","EQ","3,139.00","3,179.75","3,086.00","3,139.75","3,134.00","3,131.10","3,142.08","3,582.90","2,560.00","1,998,170","6,278,411,068.70","131,411"
"11-May-2023","EQ","3,052.05","3,156.15","3,031.50","3,041.40","3,143.00","3,139.75","3,096.23","3,582.90","2,560.00","3,229,605","9,999,610,804.45","187,556"
"10-May-2023","EQ","3,042.95","3,057.00","3,018.90","3,034.80","3,039.65","3,041.40","3,038.43","3,582.90","2,560.00","751,851","2,284,446,148.65","45,838"
