"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","922.00","930.95","916.05","914.85","921.50","919.70","923.91","970.00","618.25","11,817,533","10,918,348,216.70","167,684"
"31-May-2023","EQ","937.35","939.90","910.20","937.45","917.50","914.85","916.83","970.00","618.25","34,757,004","31,866,286,587.55","264,113"
"30-May-2023","EQ","930.80","939.70","928.05","929.80","935.15","937.45","933.19","970.00","618.25","7,804,403","7,282,994,937.60","154,714"
"29-May-2023","EQ","931.00","937.70","928.05","926.95","930.70","929.80","933.27","970.00","618.25","7,133,871","6,657,825,588.40","127,183"
"26-May-2023","EQ","918.00","927.90","915.00","921.05","925.90","926.95","922.49","970.00","618.25","4,908,462","4,528,020,852.45","106,287"
"25-May-2023","EQ","916.70","923.55","912.45","917.70","920.35","921.05","916.90","970.00","618.25","8,149,350","7,472,119,111.25","113,733"
"24-May-2023","EQ","911.15","920.85","910.20","916.15","918.00","917.70","915.75","970.00","618.25","6,248,545","5,722,097,401.05","121,754"
"23-May-2023","EQ","917.55","922.50","912.40","917.55","912.95","916.15","918.17","970.00","618.25","8,273,445","7,596,397,802.65","141,294"
"22-May-2023","EQ","923.00","927.75","914.40","924.05","916.80","917.55","919.19","970.00","618.25","9,383,158","8,624,941,377.95","130,478"
"19-May-2023","EQ","920.90","927.00","908.95","914.70","926.00","924.05","916.94","970.00","618.25","8,393,002","7,695,879,382.05","149,439"
"18-May-2023","EQ","920.00","929.50","912.60","914.80","915.65","914.70","922.01","970.00","618.25","13,614,127","12,552,328,653.70","214,235"
"17-May-2023","EQ","917.70","918.90","911.25","917.80","915.20","914.80","915.74","970.00","618.25","10,248,327","9,384,850,303.70","159,245"
"16-May-2023","EQ","916.20","922.50","912.00","915.80","915.90","917.80","918.40","970.00","618.25","12,567,615","11,542,124,160.15","154,810"
"15-May-2023","EQ","910.65","919.50","909.15","910.65","913.10","915.80","916.02","970.00","618.25","7,339,579","6,723,179,195.50","183,405"
"12-May-2023","EQ","895.20","913.60","894.00","895.95","911.00","910.65","905.39","970.00","618.25","10,533,272","9,536,670,795.00","161,890"
"11-May-2023","EQ","891.00","900.00","889.00","889.90","895.70","895.95","895.23","970.00","618.25","13,816,121","12,368,619,503.95","200,160"
"10-May-2023","EQ","892.00","892.50","877.55","888.25","890.00","889.90","887.33","970.00","618.25","11,893,027","10,553,051,459.10","167,094"
"09-May-2023","EQ","882.20","890.20","880.00","878.45","888.00","888.25","886.80","970.00","618.25","12,117,151","10,745,483,967.45","156,537"
"08-May-2023","EQ","865.30","881.40","865.30","865.30","879.95","878.45","877.74","970.00","618.25","7,007,882","6,151,112,520.70","134,771"
"05-May-2023","EQ","867.15","885.00","862.75","865.95","864.75","865.30","874.20","970.00","618.25","14,343,308","12,538,877,195.70","196,545"
"04-May-2023","EQ","860.00","867.15","857.50","859.85","865.90","865.95","861.66","970.00","618.25","9,756,391","8,406,700,680.10","212,358"
"03-May-2023","EQ","863.85","866.85","854.05","870.65","859.05","859.85","859.26","970.00","618.25","15,103,015","12,977,445,017.40","289,619"
"02-May-2023","EQ","870.00","876.40","864.25","860.00","869.90","870.65","871.65","970.00","618.25","12,947,953","11,286,116,515.35","208,931"
"28-Apr-2023","EQ","885.10","890.05","853.65","881.40","860.00","860.00","860.94","970.00","618.25","23,004,117","19,805,082,924.80","371,287"
"27-Apr-2023","EQ","888.00","890.00","877.50","887.65","880.50","881.40","882.38","970.00","618.25","15,992,383","14,111,354,670.75","211,246"
"26-Apr-2023","EQ","877.40","889.45","875.20","878.35","885.60","887.65","882.29","970.00","618.25","19,468,723","17,177,083,781.20","231,914"
"25-Apr-2023","EQ","885.00","895.80","874.40","882.30","876.80","878.35","887.20","970.00","618.25","36,394,389","32,289,273,339.60","221,239"
"24-Apr-2023","EQ","868.00","884.40","860.50","864.20","884.25","882.30","873.68","970.00","618.25","18,201,632","15,902,435,367.85","170,058"
"21-Apr-2023","EQ","870.80","873.85","857.50","868.75","860.70","864.20","866.89","970.00","618.25","15,520,786","13,454,767,337.10","117,031"
"20-Apr-2023","EQ","874.80","875.60","864.15","873.40","871.10","868.75","868.69","970.00","618.25","19,444,753","16,891,415,680.10","128,040"
"19-Apr-2023","EQ","865.00","874.50","862.55","863.35","871.95","873.40","869.32","970.00","618.25","23,494,247","20,424,019,478.25","170,158"
"18-Apr-2023","EQ","865.35","872.00","857.10","864.55","864.75","863.35","865.53","970.00","618.25","17,238,709","14,920,705,065.35","140,178"
"17-Apr-2023","EQ","882.00","882.00","861.00","864.35","864.00","864.55","867.05","970.00","618.25","22,577,380","19,575,735,178.10","178,837"
"13-Apr-2023","EQ","853.65","867.70","845.00","851.05","864.00","864.35","854.42","970.00","618.25","23,934,570","20,450,123,140.30","176,831"
"12-Apr-2023","EQ","854.90","856.65","846.65","853.30","851.95","851.05","850.29","970.00","618.25","13,480,335","11,462,240,653.50","160,356"
"11-Apr-2023","EQ","848.25","855.70","844.05","847.35","853.70","853.30","849.69","970.00","618.25","23,930,907","20,333,891,050.00","191,245"
"10-Apr-2023","EQ","854.80","854.95","843.95","851.95","845.50","847.35","848.25","970.00","618.25","15,656,078","13,280,268,139.00","140,348"
"06-Apr-2023","EQ","861.80","863.25","849.00","860.50","851.30","851.95","854.22","970.00","618.25","19,677,316","16,808,722,254.05","197,757"
"05-Apr-2023","EQ","871.00","871.00","857.00","864.60","860.00","860.50","860.63","970.00","618.25","11,890,015","10,232,953,006.70","188,518"
"03-Apr-2023","EQ","864.00","866.80","856.45","858.50","865.35","864.60","862.05","970.00","618.25","13,266,882","11,436,720,768.45","134,998"
"31-Mar-2023","EQ","854.90","860.90","847.50","842.60","857.10","858.50","853.86","970.00","618.25","12,946,752","11,054,759,333.60","246,251"
