"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","2,670.00","2,670.00","2,638.80","2,640.40","2,645.15","2,646.70","2,657.69","2,867.00","2,026.00","3,666,667","9,744,871,692.55","133,117"
"31-May-2023","EQ","2,678.00","2,685.40","2,637.10","2,693.35","2,644.70","2,640.40","2,643.97","2,867.00","2,026.00","17,183,308","45,432,117,867.75","212,195"
"30-May-2023","EQ","2,685.20","2,702.90","2,672.60","2,690.55","2,701.00","2,693.35","2,684.80","2,867.00","2,026.00","4,054,695","10,886,037,470.05","131,169"
"29-May-2023","EQ","2,682.00","2,700.00","2,674.60","2,650.60","2,690.00","2,690.55","2,692.38","2,867.00","2,026.00","3,030,616","8,159,581,763.30","154,903"
"26-May-2023","EQ","2,643.60","2,657.95","2,631.05","2,647.40","2,651.70","2,650.60","2,643.96","2,867.00","2,026.00","6,244,230","16,509,479,574.30","160,840"
"25-May-2023","EQ","2,664.80","2,669.95","2,633.60","2,671.75","2,652.10","2,647.40","2,644.76","2,867.00","2,026.00","4,693,122","12,412,183,856.40","157,468"
"24-May-2023","EQ","2,687.05","2,704.65","2,665.00","2,705.85","2,673.00","2,671.75","2,685.73","2,867.00","2,026.00","2,687,610","7,218,198,634.45","98,510"
"23-May-2023","EQ","2,717.00","2,718.65","2,698.35","2,704.75","2,700.50","2,705.85","2,707.72","2,867.00","2,026.00","4,402,201","11,919,945,403.95","158,713"
"22-May-2023","EQ","2,709.50","2,720.95","2,693.10","2,710.95","2,701.00","2,704.75","2,705.58","2,867.00","2,026.00","1,933,631","5,231,595,080.00","103,394"
"19-May-2023","EQ","2,731.70","2,731.70","2,693.60","2,716.00","2,711.00","2,710.95","2,707.46","2,867.00","2,026.00","2,303,627","6,236,988,189.35","91,126"
"18-May-2023","EQ","2,715.40","2,732.35","2,707.10","2,706.15","2,716.00","2,716.00","2,716.60","2,867.00","2,026.00","2,144,878","5,826,785,925.50","130,582"
"17-May-2023","EQ","2,727.00","2,727.00","2,688.20","2,722.65","2,709.00","2,706.15","2,708.45","2,867.00","2,026.00","2,622,477","7,102,842,556.20","97,763"
"16-May-2023","EQ","2,759.00","2,764.85","2,715.00","2,784.35","2,720.05","2,722.65","2,734.19","2,867.00","2,026.00","4,677,862","12,790,161,242.35","193,322"
"15-May-2023","EQ","2,779.00","2,796.00","2,771.15","2,776.30","2,785.00","2,784.35","2,788.22","2,867.00","2,026.00","3,373,596","9,406,342,399.55","128,105"
"12-May-2023","EQ","2,754.65","2,785.55","2,750.00","2,767.15","2,776.50","2,776.30","2,771.81","2,867.00","2,026.00","2,634,023","7,301,016,540.10","105,374"
"11-May-2023","EQ","2,766.50","2,776.15","2,753.65","2,752.65","2,769.65","2,767.15","2,766.15","2,867.00","2,026.00","2,282,579","6,313,961,018.40","115,811"
"10-May-2023","EQ","2,749.00","2,755.65","2,733.50","2,750.05","2,751.00","2,752.65","2,744.73","2,867.00","2,026.00","1,920,538","5,271,366,659.50","113,731"
"09-May-2023","EQ","2,743.00","2,767.00","2,736.85","2,735.60","2,746.10","2,750.05","2,755.79","2,867.00","2,026.00","5,048,926","13,913,803,758.20","181,222"
"08-May-2023","EQ","2,713.00","2,744.80","2,710.20","2,702.30","2,734.95","2,735.60","2,737.03","2,867.00","2,026.00","5,921,220","16,206,561,147.60","247,251"
"05-May-2023","EQ","2,719.00","2,758.00","2,697.00","2,862.05","2,702.90","2,702.30","2,724.94","2,867.00","2,026.00","8,824,448","24,046,117,342.25","373,354"
"04-May-2023","EQ","2,785.00","2,867.00","2,779.95","2,787.75","2,862.00","2,862.05","2,826.66","2,867.00","2,026.00","4,703,010","13,293,828,855.90","139,109"
"03-May-2023","EQ","2,780.00","2,793.80","2,770.65","2,790.00","2,791.90","2,787.75","2,781.59","2,827.95","2,026.00","1,990,165","5,535,831,623.50","116,346"
"02-May-2023","EQ","2,791.50","2,804.00","2,776.20","2,775.60","2,783.80","2,790.00","2,794.38","2,827.95","2,026.00","5,377,606","15,027,056,903.40","175,681"
"28-Apr-2023","EQ","2,772.00","2,780.85","2,753.60","2,772.90","2,770.00","2,775.60","2,770.66","2,827.95","2,026.00","4,660,013","12,911,293,011.90","154,074"
"27-Apr-2023","EQ","2,752.60","2,781.00","2,749.25","2,761.45","2,778.25","2,772.90","2,761.66","2,827.95","2,026.00","3,347,433","9,244,474,067.80","120,544"
"26-Apr-2023","EQ","2,751.30","2,767.30","2,741.00","2,757.00","2,766.00","2,761.45","2,753.47","2,827.95","2,026.00","2,247,289","6,187,831,845.50","111,928"
"25-Apr-2023","EQ","2,782.00","2,792.00","2,749.25","2,787.55","2,755.00","2,757.00","2,766.99","2,827.95","2,026.00","4,575,039","12,659,067,253.45","138,611"
