"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","1,968.00","1,979.15","1,925.00","2,014.35","1,929.00","1,930.05","1,940.85","2,064.40","1,631.00","5,967,432","11,581,861,981.00","196,305"
"31-May-2023","EQ","1,984.95","2,064.40","1,953.90","1,974.70","2,011.65","2,014.35","2,008.64","2,064.40","1,631.00","88,598,126","177,961,305,207.70","369,147"
"30-May-2023","EQ","1,957.85","1,979.10","1,952.35","1,953.20","1,972.05","1,974.70","1,968.89","1,997.55","1,631.00","7,429,705","14,628,265,545.35","140,716"
"29-May-2023","EQ","1,963.10","1,973.30","1,948.25","1,945.05","1,953.30","1,953.20","1,957.88","1,997.55","1,631.00","3,775,509","7,391,993,127.60","87,960"
"26-May-2023","EQ","1,949.95","1,949.95","1,923.50","1,929.95","1,944.50","1,945.05","1,937.38","1,997.55","1,631.00","3,295,412","6,384,458,591.80","84,285"
"25-May-2023","EQ","1,918.00","1,933.55","1,907.55","1,910.35","1,930.55","1,929.95","1,922.15","1,997.55","1,631.00","5,966,757","11,468,978,411.85","103,149"
"24-May-2023","EQ","1,921.95","1,940.00","1,897.40","1,921.50","1,908.30","1,910.35","1,920.52","1,997.55","1,631.00","3,557,537","6,832,318,522.00","79,385"
"23-May-2023","EQ","1,940.20","1,940.20","1,915.00","1,940.20","1,920.90","1,921.50","1,923.76","1,997.55","1,631.00","4,335,524","8,340,503,828.10","99,213"
"22-May-2023","EQ","1,945.00","1,952.50","1,923.65","1,941.65","1,937.50","1,940.20","1,940.98","1,997.55","1,631.00","3,400,880","6,601,041,520.60","83,424"
"19-May-2023","EQ","1,930.00","1,946.85","1,923.50","1,927.40","1,942.00","1,941.65","1,933.16","1,997.55","1,631.00","3,946,927","7,630,028,672.80","92,896"
"18-May-2023","EQ","1,924.00","1,933.65","1,911.20","1,909.15","1,927.00","1,927.40","1,924.26","1,997.55","1,631.00","4,145,228","7,976,500,585.15","107,793"
"17-May-2023","EQ","1,949.80","1,950.90","1,895.55","1,947.05","1,909.00","1,909.15","1,913.55","1,997.55","1,631.00","5,482,017","10,490,134,116.95","173,252"
"16-May-2023","EQ","1,978.00","1,978.00","1,938.00","1,973.00","1,940.00","1,947.05","1,959.78","1,997.55","1,631.00","4,569,497","8,955,206,834.90","163,152"
"15-May-2023","EQ","1,957.05","1,977.00","1,952.40","1,960.60","1,970.00","1,973.00","1,968.52","1,997.55","1,631.00","2,971,692","5,849,825,936.05","101,512"
