"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","1,319.00","1,337.70","1,312.80","1,319.00","1,319.80","1,318.90","1,324.42","1,397.00","957.05","2,364,455","3,131,520,548.20","161,465"
"31-May-2023","EQ","1,325.00","1,328.25","1,303.25","1,328.45","1,316.20","1,319.00","1,318.27","1,397.00","957.05","5,629,378","7,421,049,375.10","136,284"
"30-May-2023","EQ","1,329.95","1,335.30","1,320.00","1,330.15","1,327.05","1,328.45","1,330.40","1,397.00","957.05","2,493,657","3,317,565,304.05","102,790"
"29-May-2023","EQ","1,321.50","1,350.00","1,298.00","1,281.85","1,325.05","1,330.15","1,329.30","1,397.00","957.05","6,185,862","8,222,850,122.70","267,574"
"26-May-2023","EQ","1,290.00","1,292.80","1,268.35","1,277.80","1,277.00","1,281.85","1,283.55","1,397.00","910.25","3,508,112","4,502,827,826.00","97,532"
"25-May-2023","EQ","1,280.00","1,280.80","1,257.55","1,275.70","1,279.35","1,277.80","1,268.92","1,397.00","910.25","2,040,166","2,588,799,776.75","88,205"
"24-May-2023","EQ","1,260.00","1,278.00","1,254.50","1,268.55","1,277.10","1,275.70","1,268.82","1,397.00","910.25","1,369,297","1,737,394,061.30","51,832"
"23-May-2023","EQ","1,265.55","1,270.75","1,256.55","1,265.55","1,268.00","1,268.55","1,265.72","1,397.00","910.25","1,803,955","2,283,309,711.00","63,990"
"22-May-2023","EQ","1,259.25","1,269.45","1,251.30","1,260.40","1,265.00","1,265.55","1,264.15","1,397.00","910.25","917,769","1,160,198,733.60","50,047"
"19-May-2023","EQ","1,252.90","1,262.45","1,237.45","1,245.50","1,258.00","1,260.40","1,252.59","1,397.00","880.15","1,588,996","1,990,359,577.40","76,012"
"18-May-2023","EQ","1,269.95","1,269.95","1,241.25","1,263.10","1,248.80","1,245.50","1,253.56","1,397.00","880.15","1,900,447","2,382,323,213.50","58,030"
"17-May-2023","EQ","1,265.00","1,271.70","1,260.70","1,262.45","1,262.00","1,263.10","1,265.63","1,397.00","880.15","1,643,851","2,080,508,122.70","70,293"
"16-May-2023","EQ","1,287.00","1,291.70","1,258.85","1,285.65","1,265.00","1,262.45","1,271.96","1,397.00","880.15","1,571,371","1,998,728,640.75","88,509"
"15-May-2023","EQ","1,279.90","1,287.75","1,272.60","1,275.95","1,287.50","1,285.65","1,283.33","1,397.00","880.15","2,647,630","3,397,782,400.75","88,203"
"12-May-2023","EQ","1,256.40","1,278.80","1,251.30","1,251.30","1,275.05","1,275.95","1,267.70","1,397.00","853.70","2,427,624","3,077,503,825.20","81,774"
"11-May-2023","EQ","1,250.00","1,260.85","1,244.15","1,248.65","1,251.05","1,251.30","1,251.60","1,397.00","853.70","4,100,467","5,132,138,074.80","81,913"
"10-May-2023","EQ","1,250.00","1,255.80","1,235.00","1,245.45","1,250.00","1,248.65","1,244.32","1,397.00","853.70","2,108,081","2,623,126,522.95","101,400"
"09-May-2023","EQ","1,239.00","1,250.00","1,234.05","1,231.80","1,244.70","1,245.45","1,244.17","1,397.00","853.70","1,846,359","2,297,176,570.65","96,037"
"08-May-2023","EQ","1,216.95","1,239.85","1,213.70","1,211.20","1,233.50","1,231.80","1,233.24","1,397.00","853.70","3,513,667","4,333,184,372.70","119,692"
"05-May-2023","EQ","1,232.80","1,242.35","1,208.05","1,231.70","1,213.00","1,211.20","1,220.48","1,397.00","853.70","4,753,718","5,801,823,647.55","74,419"
"04-May-2023","EQ","1,235.00","1,238.05","1,228.00","1,235.45","1,230.45","1,231.70","1,231.41","1,397.00","853.70","1,541,188","1,897,827,472.00","107,298"
"03-May-2023","EQ","1,237.30","1,242.00","1,230.10","1,237.30","1,235.00","1,235.45","1,235.35","1,397.00","853.70","1,307,304","1,614,983,470.55","51,373"
"02-May-2023","EQ","1,230.00","1,240.80","1,217.50","1,226.90","1,234.00","1,237.30","1,231.82","1,397.00","853.70","2,607,580","3,212,076,691.70","83,747"
"28-Apr-2023","EQ","1,225.00","1,228.75","1,211.50","1,224.00","1,225.10","1,226.90","1,222.57","1,397.00","853.70","2,333,102","2,852,380,878.35","94,563"
"27-Apr-2023","EQ","1,210.05","1,225.00","1,210.05","1,213.55","1,224.00","1,224.00","1,221.02","1,397.00","853.70","1,340,045","1,636,225,046.95","70,970"
"26-Apr-2023","EQ","1,212.00","1,217.25","1,205.30","1,209.85","1,215.75","1,213.55","1,211.52","1,397.00","853.70","1,708,865","2,070,330,615.65","82,752"
"25-Apr-2023","EQ","1,207.75","1,215.00","1,199.40","1,207.75","1,207.65","1,209.85","1,207.02","1,397.00","853.70","1,360,260","1,641,867,112.00","78,457"
"24-Apr-2023","EQ","1,210.40","1,217.10","1,196.00","1,212.75","1,206.90","1,207.75","1,204.34","1,397.00","853.70","1,389,756","1,673,744,359.05","79,708"
"21-Apr-2023","EQ","1,221.95","1,221.95","1,209.05","1,218.60","1,212.15","1,212.75","1,212.84","1,397.00","853.70","1,015,815","1,232,023,990.80","49,947"
"20-Apr-2023","EQ","1,218.00","1,224.90","1,214.55","1,215.50","1,215.05","1,218.60","1,219.80","1,397.00","853.70","2,172,677","2,650,241,378.90","64,800"
"19-Apr-2023","EQ","1,204.65","1,217.95","1,203.40","1,204.70","1,215.45","1,215.50","1,213.10","1,397.00","853.70","1,818,732","2,206,305,714.25","53,648"
"18-Apr-2023","EQ","1,213.00","1,217.90","1,202.60","1,212.95","1,205.40","1,204.70","1,207.20","1,397.00","853.70","2,075,066","2,505,025,632.40","82,844"
"17-Apr-2023","EQ","1,218.95","1,218.95","1,203.40","1,204.55","1,214.00","1,212.95","1,208.96","1,397.00","853.70","1,956,198","2,364,960,178.35","89,774"
"13-Apr-2023","EQ","1,213.45","1,222.20","1,199.55","1,207.35","1,205.45","1,204.55","1,205.80","1,397.00","843.30","4,470,196","5,390,148,195.90","122,229"
