"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","3,314.00","3,340.00","3,297.50","3,289.50","3,322.00","3,324.00","3,325.54","3,575.00","2,926.10","1,177,314","3,915,200,315.10","107,605"
"31-May-2023","EQ","3,309.00","3,327.70","3,265.15","3,316.20","3,286.00","3,289.50","3,294.05","3,575.00","2,926.10","5,815,424","19,156,282,297.40","171,593"
"30-May-2023","EQ","3,315.00","3,326.95","3,301.35","3,320.35","3,315.15","3,316.20","3,311.75","3,575.00","2,926.10","1,344,224","4,451,739,910.30","105,175"
"29-May-2023","EQ","3,360.80","3,372.00","3,312.00","3,328.90","3,320.70","3,320.35","3,333.70","3,575.00","2,926.10","1,210,372","4,035,020,143.50","89,980"
"26-May-2023","EQ","3,293.50","3,338.65","3,291.00","3,293.50","3,331.70","3,328.90","3,310.97","3,575.00","2,926.10","1,791,115","5,930,331,787.45","103,741"
"25-May-2023","EQ","3,294.00","3,306.00","3,267.10","3,303.35","3,295.00","3,293.50","3,287.20","3,575.00","2,926.10","1,374,917","4,519,633,216.35","76,662"
"24-May-2023","EQ","3,276.00","3,317.20","3,276.00","3,297.05","3,303.50","3,303.35","3,302.83","3,575.00","2,926.10","1,016,555","3,357,504,888.10","57,423"
"23-May-2023","EQ","3,306.00","3,327.95","3,290.10","3,298.70","3,295.00","3,297.05","3,310.23","3,575.00","2,926.10","1,687,418","5,585,748,304.90","140,257"
"22-May-2023","EQ","3,230.00","3,308.45","3,217.05","3,222.85","3,292.00","3,298.70","3,272.82","3,575.00","2,926.10","1,333,243","4,363,457,756.40","116,693"
"19-May-2023","EQ","3,210.00","3,234.50","3,203.05","3,199.85","3,224.55","3,222.85","3,219.92","3,575.00","2,926.10","1,152,449","3,710,796,199.45","74,505"
"18-May-2023","EQ","3,225.95","3,228.95","3,195.00","3,208.70","3,200.00","3,199.85","3,203.72","3,575.00","2,926.10","1,369,364","4,387,053,720.55","96,133"
"17-May-2023","EQ","3,255.95","3,280.00","3,198.25","3,258.15","3,209.00","3,208.70","3,216.79","3,575.00","2,926.10","1,588,815","5,110,882,505.40","132,490"
"16-May-2023","EQ","3,256.20","3,285.00","3,250.45","3,255.05","3,255.95","3,258.15","3,266.60","3,575.00","2,926.10","986,306","3,221,871,014.75","84,131"
"15-May-2023","EQ","3,284.00","3,292.00","3,248.35","3,274.30","3,251.50","3,255.05","3,272.51","3,575.00","2,926.10","1,150,390","3,764,661,351.00","84,958"
"12-May-2023","EQ","3,279.15","3,290.00","3,260.00","3,282.15","3,277.00","3,274.30","3,274.10","3,575.00","2,926.10","1,027,479","3,364,070,116.35","96,840"
"11-May-2023","EQ","3,309.00","3,309.70","3,272.00","3,286.80","3,281.05","3,282.15","3,293.20","3,575.00","2,926.10","1,719,623","5,663,054,332.75","124,781"
"10-May-2023","EQ","3,290.00","3,306.50","3,266.05","3,283.25","3,280.00","3,286.80","3,286.72","3,575.00","2,926.10","1,559,987","5,127,237,024.20","93,564"
