"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","7,871.00","7,898.80","7,809.80","7,870.05","7,840.00","7,842.80","7,857.59","7,970.00","5,157.05","184,642","1,450,841,751.65","29,538"
"31-May-2023","EQ","7,895.00","7,927.45","7,779.85","7,901.95","7,822.00","7,870.05","7,864.59","7,970.00","5,157.05","1,137,662","8,947,244,264.85","56,111"
"30-May-2023","EQ","7,865.00","7,970.00","7,840.60","7,840.55","7,895.00","7,901.95","7,922.88","7,970.00","5,157.05","414,785","3,286,290,934.45","43,969"
"29-May-2023","EQ","7,750.00","7,857.70","7,735.00","7,721.85","7,849.00","7,840.55","7,815.02","7,920.00","5,157.05","210,769","1,647,163,414.35","27,040"
"26-May-2023","EQ","7,670.00","7,750.00","7,633.90","7,621.75","7,717.00","7,721.85","7,712.28","7,920.00","5,157.05","252,078","1,944,096,652.65","35,669"
"25-May-2023","EQ","7,644.30","7,668.10","7,594.30","7,653.80","7,627.70","7,621.75","7,621.66","7,920.00","5,157.05","257,361","1,961,517,562.40","27,490"
"24-May-2023","EQ","7,650.00","7,683.95","7,590.05","7,654.25","7,650.00","7,653.80","7,654.24","7,920.00","5,157.05","160,565","1,229,002,972.65","30,738"
"23-May-2023","EQ","7,675.00","7,752.40","7,625.30","7,715.65","7,648.00","7,654.25","7,689.89","7,920.00","5,157.05","149,291","1,148,031,407.60","23,767"
"22-May-2023","EQ","7,655.00","7,738.00","7,650.00","7,681.30","7,684.75","7,715.65","7,703.00","7,920.00","5,157.05","139,603","1,075,362,456.45","26,053"
"19-May-2023","EQ","7,637.00","7,689.15","7,585.10","7,604.15","7,680.00","7,681.30","7,645.80","7,920.00","5,157.05","138,709","1,060,541,685.55","20,107"
"18-May-2023","EQ","7,744.80","7,767.85","7,586.50","7,700.45","7,610.00","7,604.15","7,652.41","7,920.00","5,157.05","157,714","1,206,892,764.00","23,337"
"17-May-2023","EQ","7,717.00","7,759.95","7,653.00","7,698.70","7,715.95","7,700.45","7,701.69","7,920.00","5,157.05","205,629","1,583,691,255.35","41,528"
"16-May-2023","EQ","7,770.00","7,805.35","7,685.00","7,760.95","7,697.25","7,698.70","7,750.02","7,920.00","5,157.05","250,490","1,941,301,758.65","29,893"
"15-May-2023","EQ","7,728.90","7,775.00","7,716.50","7,702.95","7,744.25","7,760.95","7,755.14","7,920.00","5,157.05","183,594","1,423,796,900.00","40,466"
"12-May-2023","EQ","7,839.95","7,920.00","7,691.80","7,835.45","7,721.00","7,702.95","7,753.52","7,920.00","5,157.05","246,799","1,913,561,358.15","39,785"
"11-May-2023","EQ","7,790.00","7,855.80","7,750.10","7,743.20","7,827.00","7,835.45","7,817.63","7,855.80","5,157.05","320,219","2,503,352,973.85","55,545"
"10-May-2023","EQ","7,760.00","7,775.00","7,722.00","7,716.25","7,742.00","7,743.20","7,746.28","7,824.00","5,157.05","234,884","1,819,477,082.40","44,639"
"09-May-2023","EQ","7,758.95","7,823.00","7,687.50","7,735.45","7,709.00","7,716.25","7,761.76","7,824.00","5,157.05","289,797","2,249,334,799.20","37,355"
"08-May-2023","EQ","7,630.00","7,754.00","7,620.00","7,628.80","7,733.00","7,735.45","7,712.23","7,824.00","5,157.05","295,156","2,276,310,916.05","41,741"
"05-May-2023","EQ","7,520.00","7,668.90","7,505.50","7,502.25","7,626.00","7,628.80","7,602.15","7,824.00","5,157.05","319,654","2,430,056,256.80","39,015"
"04-May-2023","EQ","7,514.70","7,529.00","7,485.05","7,507.20","7,505.00","7,502.25","7,501.85","7,824.00","5,157.05","232,203","1,741,950,990.50","26,276"
"03-May-2023","EQ","7,524.00","7,542.00","7,434.45","7,456.60","7,510.00","7,507.20","7,502.13","7,824.00","5,157.05","384,431","2,884,052,841.60","33,647"
"02-May-2023","EQ","7,545.50","7,582.00","7,440.00","7,556.20","7,458.00","7,456.60","7,477.49","7,824.00","5,157.05","544,731","4,073,218,656.30","59,163"
"28-Apr-2023","EQ","7,512.00","7,579.00","7,490.00","7,500.90","7,540.00","7,556.20","7,539.07","7,824.00","5,157.05","457,487","3,449,025,739.90","50,511"
"27-Apr-2023","EQ","7,459.00","7,508.00","7,436.90","7,456.90","7,505.00","7,500.90","7,481.48","7,824.00","5,157.05","205,177","1,535,026,735.50","26,112"
"26-Apr-2023","EQ","7,464.00","7,480.00","7,300.00","7,439.20","7,442.00","7,456.90","7,443.76","7,824.00","5,157.05","230,254","1,713,955,549.25","29,755"
"25-Apr-2023","EQ","7,455.90","7,507.45","7,425.30","7,440.55","7,438.00","7,439.20","7,461.59","7,824.00","5,157.05","285,446","2,129,882,013.65","28,308"
"24-Apr-2023","EQ","7,350.00","7,458.00","7,308.55","7,358.50","7,451.15","7,440.55","7,375.66","7,824.00","5,157.05","513,771","3,789,400,802.95","40,387"
"21-Apr-2023","EQ","7,500.05","7,517.45","7,339.25","7,475.80","7,355.95","7,358.50","7,374.04","7,824.00","5,157.05","388,408","2,864,137,084.05","45,693"
"20-Apr-2023","EQ","7,572.60","7,600.00","7,445.60","7,515.90","7,470.00","7,475.80","7,493.34","7,824.00","5,157.05","263,429","1,973,963,524.70","40,407"
"19-Apr-2023","EQ","7,605.00","7,634.00","7,478.50","7,595.30","7,516.00","7,515.90","7,533.89","7,824.00","5,157.05","341,302","2,571,332,159.60","40,444"
"18-Apr-2023","EQ","7,779.00","7,779.00","7,570.00","7,742.45","7,595.00","7,595.30","7,671.28","7,824.00","5,157.05","437,232","3,354,128,148.90","42,265"
"17-Apr-2023","EQ","7,655.25","7,824.00","7,645.05","7,655.25","7,748.00","7,742.45","7,764.99","7,824.00","5,157.05","488,286","3,791,538,029.65","47,998"
"13-Apr-2023","EQ","7,705.05","7,749.00","7,628.45","7,682.85","7,662.00","7,655.25","7,664.60","7,794.00","5,157.05","292,568","2,242,415,499.60","33,434"
"12-Apr-2023","EQ","7,750.00","7,794.00","7,675.00","7,741.45","7,680.00","7,682.85","7,717.33","7,794.00","5,157.05","264,416","2,040,585,545.75","41,216"
"11-Apr-2023","EQ","7,715.00","7,793.95","7,715.00","7,696.25","7,740.05","7,741.45","7,748.05","7,793.95","5,157.05","354,799","2,748,999,774.65","58,837"
"10-Apr-2023","EQ","7,701.85","7,772.00","7,668.00","7,701.85","7,700.00","7,696.25","7,720.42","7,772.00","5,157.05","226,983","1,752,405,137.80","39,225"
"06-Apr-2023","EQ","7,690.00","7,730.00","7,668.85","7,691.95","7,700.00","7,701.85","7,706.02","7,737.00","5,157.05","227,682","1,754,521,207.30","30,098"
"05-Apr-2023","EQ","7,575.00","7,699.65","7,575.00","7,640.50","7,699.65","7,691.95","7,662.04","7,737.00","5,157.05","233,489","1,789,002,699.05","37,989"
"03-Apr-2023","EQ","7,670.90","7,737.00","7,580.10","7,622.15","7,643.00","7,640.50","7,651.70","7,737.00","5,157.05","360,584","2,759,080,518.75","61,388"
"31-Mar-2023","EQ","7,575.10","7,644.30","7,547.05","7,570.75","7,606.35","7,622.15","7,605.44","7,644.30","5,157.05","378,456","2,878,325,376.30","70,942"
"29-Mar-2023","EQ","7,419.80","7,600.00","7,400.00","7,403.10","7,548.70","7,570.75","7,521.10","7,600.00","5,157.05","445,346","3,349,493,503.95","63,998"
"28-Mar-2023","EQ","7,484.00","7,511.90","7,368.35","7,450.20","7,397.30","7,403.10","7,425.42","7,511.90","5,157.05","249,783","1,854,742,662.10","32,617"
"27-Mar-2023","EQ","7,407.00","7,483.45","7,392.45","7,405.65","7,450.00","7,450.20","7,450.76","7,492.00","5,157.05","251,626","1,874,803,737.25","32,745"
"24-Mar-2023","EQ","7,404.00","7,431.20","7,327.55","7,407.95","7,380.05","7,405.65","7,381.14","7,492.00","5,157.05","228,994","1,690,236,340.90","33,884"
"23-Mar-2023","EQ","7,371.00","7,465.00","7,358.45","7,396.65","7,404.00","7,407.95","7,421.21","7,492.00","5,157.05","232,908","1,728,459,915.90","39,923"
"22-Mar-2023","EQ","7,360.00","7,449.10","7,353.00","7,352.75","7,396.00","7,396.65","7,400.68","7,492.00","5,157.05","381,601","2,824,108,775.65","60,843"
"21-Mar-2023","EQ","7,243.00","7,360.00","7,237.10","7,243.20","7,350.60","7,352.75","7,317.65","7,492.00","5,157.05","350,524","2,565,013,696.75","36,676"
"20-Mar-2023","EQ","7,275.00","7,284.40","7,098.00","7,289.95","7,235.80","7,243.20","7,193.77","7,492.00","5,157.05","520,041","3,741,055,718.30","50,508"
"17-Mar-2023","EQ","7,159.15","7,308.90","7,159.15","7,104.60","7,295.00","7,289.95","7,250.14","7,492.00","5,157.05","383,505","2,780,464,230.20","46,476"
"16-Mar-2023","EQ","7,135.60","7,149.80","7,076.05","7,100.75","7,140.00","7,104.60","7,110.22","7,492.00","5,157.05","459,814","3,269,378,723.35","61,036"
"15-Mar-2023","EQ","7,126.00","7,188.00","7,082.20","7,063.95","7,130.00","7,100.75","7,131.60","7,492.00","5,157.05","265,536","1,893,697,784.95","45,480"
