"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","405.00","408.00","404.05","403.65","407.40","407.15","406.86","488.00","352.00","3,532,742","1,437,320,552.70","59,327"
"31-May-2023","EQ","401.75","404.80","400.50","402.50","403.90","403.65","403.43","488.00","352.00","5,891,791","2,376,934,523.20","61,934"
"30-May-2023","EQ","400.00","403.85","399.45","399.80","403.00","402.50","402.23","488.00","352.00","3,689,486","1,484,010,896.85","76,385"
"29-May-2023","EQ","404.00","406.00","399.35","401.70","400.00","399.80","401.85","488.00","352.00","3,979,654","1,599,237,603.15","82,196"
"26-May-2023","EQ","395.15","402.55","395.00","394.10","401.05","401.70","399.88","488.00","352.00","3,963,090","1,584,753,034.70","65,343"
"25-May-2023","EQ","399.00","399.00","392.65","399.70","395.00","394.10","395.45","488.00","352.00","6,802,527","2,690,075,398.45","79,994"
"24-May-2023","EQ","394.50","400.45","393.35","397.65","399.50","399.70","398.36","488.00","352.00","4,128,487","1,644,642,807.90","56,094"
"23-May-2023","EQ","397.00","402.10","396.05","395.75","397.20","397.65","399.30","488.00","352.00","6,362,817","2,540,697,150.80","105,221"
"22-May-2023","EQ","386.50","396.60","385.40","386.20","396.00","395.75","392.60","488.00","352.00","6,098,695","2,394,346,544.80","94,635"
"19-May-2023","EQ","384.80","388.20","383.50","382.60","385.90","386.20","386.09","495.25","352.00","3,640,791","1,405,689,204.00","54,093"
"18-May-2023","EQ","385.20","385.35","382.25","382.30","382.70","382.60","383.53","495.25","352.00","2,118,508","812,517,380.75","45,499"
"17-May-2023","EQ","386.20","387.35","381.35","386.95","382.80","382.30","382.94","495.25","352.00","2,688,051","1,029,361,991.90","58,987"
"16-May-2023","EQ","387.50","388.80","386.50","385.75","387.00","386.95","387.40","495.25","352.00","2,029,676","786,296,666.20","41,768"
"15-May-2023","EQ","383.25","387.00","382.50","383.25","386.35","385.75","385.76","495.25","352.00","2,544,847","981,705,052.50","61,207"
"12-May-2023","EQ","384.60","385.25","381.55","384.65","383.60","383.25","383.49","495.25","352.00","2,290,179","878,253,996.50","55,667"
"11-May-2023","EQ","385.70","386.85","383.10","383.75","384.65","384.65","385.07","495.25","352.00","2,024,982","779,761,291.25","46,214"
"10-May-2023","EQ","384.00","384.55","382.00","382.30","383.75","383.75","383.13","495.25","352.00","1,835,201","703,113,535.45","49,858"
