"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","1,455.50","1,459.00","1,444.00","1,451.05","1,449.00","1,450.15","1,452.20","17,845.00","1,215.00","939,379","1,364,164,905.35","41,318"
"31-May-2023","EQ","1,465.00","1,465.00","1,447.25","1,465.85","1,450.00","1,451.05","1,452.01","17,845.00","1,215.00","1,704,213","2,474,532,758.70","63,726"
"30-May-2023","EQ","1,453.45","1,467.20","1,439.50","1,449.55","1,465.95","1,465.85","1,454.34","17,845.00","1,215.00","1,506,999","2,191,689,548.60","59,972"
"29-May-2023","EQ","1,448.95","1,468.50","1,444.50","1,439.15","1,449.95","1,449.55","1,454.92","17,845.00","1,215.00","1,659,680","2,414,702,215.05","63,267"
"26-May-2023","EQ","1,431.00","1,446.30","1,431.00","1,427.35","1,437.00","1,439.15","1,439.85","17,845.00","1,215.00","1,023,550","1,473,754,475.85","38,865"
"25-May-2023","EQ","1,421.10","1,429.65","1,416.00","1,426.45","1,428.00","1,427.35","1,424.12","17,845.00","1,215.00","688,673","980,751,961.50","31,140"
"24-May-2023","EQ","1,437.25","1,447.00","1,421.15","1,437.25","1,426.05","1,426.45","1,434.56","17,845.00","1,215.00","1,047,736","1,503,037,408.15","38,848"
"23-May-2023","EQ","1,415.60","1,447.80","1,415.50","1,413.00","1,438.75","1,437.25","1,437.11","17,845.00","1,215.00","1,991,556","2,862,077,091.15","76,599"
"22-May-2023","EQ","1,411.00","1,418.70","1,405.00","1,415.10","1,413.00","1,413.00","1,411.39","17,845.00","1,215.00","591,903","835,403,466.10","26,862"
"19-May-2023","EQ","1,422.10","1,422.70","1,397.05","1,415.45","1,416.50","1,415.10","1,409.60","17,845.00","1,215.00","754,504","1,063,552,071.35","31,238"
"18-May-2023","EQ","1,422.35","1,430.00","1,412.05","1,415.40","1,417.00","1,415.45","1,422.27","17,845.00","1,215.00","739,262","1,051,428,051.25","29,432"
"17-May-2023","EQ","1,430.40","1,430.40","1,405.00","1,428.35","1,415.05","1,415.40","1,415.31","17,845.00","1,215.00","804,968","1,139,283,219.45","33,770"
"16-May-2023","EQ","1,429.90","1,438.00","1,421.00","1,421.35","1,426.50","1,428.35","1,431.64","17,845.00","1,215.00","1,678,746","2,403,361,235.25","66,056"
"15-May-2023","EQ","1,424.00","1,430.00","1,416.00","1,423.45","1,421.50","1,421.35","1,424.26","17,845.00","1,215.00","1,003,664","1,429,474,530.25","46,006"
