"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","837.95","837.95","823.00","849.90","826.85","827.95","828.07","888.75","628.75","9,713,155","8,043,168,432.40","140,155"
"31-May-2023","EQ","819.00","888.75","818.00","818.45","834.00","849.90","846.38","888.75","628.75","47,342,125","40,069,594,413.90","188,351"
"30-May-2023","EQ","821.25","826.35","812.80","821.25","818.50","818.45","820.43","860.55","628.75","5,148,256","4,223,782,090.05","97,622"
"29-May-2023","EQ","829.40","829.40","818.00","817.95","822.00","821.25","821.52","860.55","628.75","3,684,829","3,027,154,525.95","69,552"
"26-May-2023","EQ","827.90","829.35","813.40","822.70","817.80","817.95","818.48","860.55","628.75","6,150,206","5,033,816,400.50","98,749"
"25-May-2023","EQ","799.60","825.50","797.85","801.40","824.00","822.70","817.79","860.55","628.75","9,570,396","7,826,548,818.15","147,088"
"24-May-2023","EQ","802.90","802.90","795.00","799.95","800.00","801.40","801.14","860.55","628.75","9,104,329","7,293,840,447.70","70,828"
"23-May-2023","EQ","808.95","808.95","797.95","801.85","800.00","799.95","801.19","860.55","628.75","6,516,636","5,221,083,162.70","63,764"
"22-May-2023","EQ","801.00","804.00","799.50","805.75","800.85","801.85","801.68","860.55","628.75","9,996,762","8,014,177,973.00","72,063"
"19-May-2023","EQ","799.35","808.35","793.25","799.35","804.10","805.75","800.76","860.55","628.75","3,432,240","2,748,401,009.25","71,956"
"18-May-2023","EQ","797.95","803.00","794.65","792.25","800.00","799.35","800.52","860.55","628.75","11,383,252","9,112,548,762.85","105,096"
"17-May-2023","EQ","788.00","797.65","783.90","787.35","793.25","792.25","791.06","860.55","628.75","6,529,233","5,165,026,615.75","124,364"
"16-May-2023","EQ","800.85","801.25","784.00","797.05","785.60","787.35","792.61","860.55","628.75","4,846,217","3,841,177,707.95","71,304"
"15-May-2023","EQ","793.00","802.50","789.55","791.95","796.85","797.05","799.48","860.55","628.75","7,569,060","6,051,303,365.30","105,407"
"12-May-2023","EQ","787.50","793.70","784.50","788.60","793.00","791.95","790.47","860.55","628.75","2,576,010","2,036,259,735.05","92,617"
"11-May-2023","EQ","794.55","794.55","783.70","796.05","789.50","788.60","788.62","860.55","628.75","4,808,171","3,791,798,018.80","92,190"
"10-May-2023","EQ","797.00","797.55","788.05","793.60","796.25","796.05","793.88","860.55","628.75","2,737,334","2,173,116,079.55","65,347"
"09-May-2023","EQ","796.90","798.35","790.50","793.75","792.50","793.60","793.61","860.55","628.75","2,486,331","1,973,175,570.50","82,379"
"08-May-2023","EQ","789.90","795.30","785.20","787.30","794.00","793.75","791.09","860.55","628.75","2,489,174","1,969,157,948.60","76,883"
"05-May-2023","EQ","789.10","790.95","780.25","789.10","787.00","787.30","785.36","860.55","628.75","1,438,467","1,129,712,187.50","49,770"
"04-May-2023","EQ","779.30","792.70","773.65","779.30","789.00","789.10","787.23","860.55","628.75","2,457,671","1,934,748,979.60","64,989"
"03-May-2023","EQ","794.50","794.50","777.20","790.20","778.25","779.30","783.42","860.55","628.75","3,908,267","3,061,830,102.90","78,298"
"02-May-2023","EQ","800.25","806.80","788.55","799.30","790.20","790.20","795.49","860.55","628.75","6,301,210","5,012,557,696.55","150,420"
"28-Apr-2023","EQ","789.85","802.05","787.20","786.50","798.90","799.30","794.48","860.55","628.75","6,572,656","5,221,844,390.90","121,798"
"27-Apr-2023","EQ","772.00","789.20","771.35","773.45","785.90","786.50","781.48","860.55","628.75","4,129,769","3,227,329,295.60","68,976"
"26-Apr-2023","EQ","779.90","779.90","767.10","772.60","773.30","773.45","772.97","860.55","628.75","5,057,352","3,909,177,445.60","111,856"
"25-Apr-2023","EQ","764.95","777.00","761.75","760.25","772.70","772.60","768.32","860.55","628.75","5,773,233","4,435,684,975.25","84,671"
"24-Apr-2023","EQ","765.20","767.40","755.65","765.20","760.00","760.25","759.20","860.55","628.75","5,271,105","4,001,801,384.45","109,962"
"21-Apr-2023","EQ","769.60","775.25","764.45","772.30","767.00","765.20","766.92","860.55","628.75","4,524,208","3,469,724,572.85","85,326"
"20-Apr-2023","EQ","764.00","773.75","762.60","764.65","772.75","772.30","768.22","860.55","628.75","2,355,441","1,809,507,449.70","53,120"
"19-Apr-2023","EQ","761.35","766.85","756.00","759.75","766.00","764.65","762.03","860.55","628.75","3,429,794","2,613,595,965.70","118,984"
"18-Apr-2023","EQ","765.00","765.00","752.55","759.65","759.15","759.75","757.59","860.55","628.75","4,051,481","3,069,379,835.30","129,280"
"17-Apr-2023","EQ","789.00","789.00","754.35","767.05","760.00","759.65","762.42","860.55","628.75","9,083,437","6,925,366,082.80","128,006"
"13-Apr-2023","EQ","770.00","771.15","765.45","771.10","767.85","767.05","768.18","860.55","628.75","4,292,170","3,297,179,127.85","83,657"
"12-Apr-2023","EQ","774.00","774.55","765.10","774.15","771.00","771.10","769.50","860.55","628.75","3,794,841","2,920,131,015.20","72,146"
"11-Apr-2023","EQ","776.00","776.00","768.15","769.75","773.25","774.15","772.30","860.55","628.75","3,485,481","2,691,819,557.40","66,521"
"10-Apr-2023","EQ","768.95","776.30","766.45","765.95","770.00","769.75","772.29","860.55","628.75","1,701,065","1,313,707,441.40","49,680"
"06-Apr-2023","EQ","762.60","768.70","759.10","763.45","765.10","765.95","765.36","860.55","628.75","1,777,379","1,360,334,610.05","54,303"
"05-Apr-2023","EQ","768.00","768.00","756.00","760.55","762.05","763.45","761.64","860.55","628.75","3,197,932","2,435,667,483.45","66,441"
"03-Apr-2023","EQ","755.00","761.90","752.05","749.00","761.15","760.55","758.34","860.55","628.75","2,120,667","1,608,186,233.00","52,193"
"31-Mar-2023","EQ","752.15","753.00","742.05","743.60","750.50","749.00","749.03","860.55","628.75","5,796,532","4,341,753,978.45","176,361"
"29-Mar-2023","EQ","751.00","754.90","738.85","748.45","745.00","743.60","744.28","860.55","628.75","4,891,868","3,640,900,803.05","81,799"
"28-Mar-2023","EQ","765.60","765.60","742.80","761.75","748.00","748.45","749.10","860.55","628.75","4,166,723","3,121,290,077.20","108,394"
"27-Mar-2023","EQ","763.00","769.70","759.35","762.45","759.35","761.75","765.07","860.55","628.75","2,258,853","1,728,191,028.85","77,864"
"24-Mar-2023","EQ","763.55","767.00","758.85","763.55","762.90","762.45","762.87","860.55","628.75","2,336,818","1,782,693,209.55","80,098"
"23-Mar-2023","EQ","758.00","765.80","756.85","756.70","761.30","763.55","762.82","860.55","628.75","2,454,948","1,872,671,368.40","84,664"
"22-Mar-2023","EQ","761.00","763.20","753.15","756.95","756.05","756.70","756.71","860.55","628.75","2,680,654","2,028,473,766.60","68,813"
"21-Mar-2023","EQ","760.00","766.00","755.15","754.80","757.00","756.95","761.16","860.55","628.75","5,332,221","4,058,647,398.05","144,444"
"20-Mar-2023","EQ","754.95","759.80","748.80","757.25","754.15","754.80","752.79","860.55","628.75","3,566,109","2,684,514,946.35","150,399"
"17-Mar-2023","EQ","750.00","759.45","739.15","745.95","756.80","757.25","748.67","860.55","628.75","9,306,857","6,967,807,074.70","140,342"
"16-Mar-2023","EQ","750.00","759.00","743.50","756.65","749.50","745.95","751.46","860.55","628.75","7,465,693","5,610,160,041.65","186,542"
"15-Mar-2023","EQ","758.00","765.55","752.50","771.80","756.95","756.65","760.10","860.55","628.75","8,101,060","6,157,633,655.05","207,597"
"14-Mar-2023","EQ","764.00","776.75","764.00","765.30","770.65","771.80","770.02","860.55","628.75","3,753,502","2,890,285,389.10","111,133"
"13-Mar-2023","EQ","777.45","777.80","763.15","773.75","767.65","765.30","770.37","860.55","628.75","3,447,889","2,656,144,328.65","89,341"
"10-Mar-2023","EQ","773.00","778.95","768.20","773.40","772.60","773.75","773.40","860.55","628.75","4,113,931","3,181,694,569.15","106,500"
"09-Mar-2023","EQ","795.00","795.00","770.20","766.55","772.50","773.40","776.14","860.55","628.75","5,240,056","4,067,027,341.55","114,356"
"08-Mar-2023","EQ","764.00","769.90","760.70","766.60","765.05","766.55","765.42","860.55","628.75","3,546,995","2,714,941,717.30","106,836"
"06-Mar-2023","EQ","766.70","775.90","765.10","764.40","768.05","766.60","771.43","860.55","628.75","4,597,345","3,546,524,465.75","89,939"
"03-Mar-2023","EQ","745.00","765.90","743.55","740.10","764.40","764.40","757.11","860.55","628.75","5,759,333","4,360,458,293.75","161,780"
"02-Mar-2023","EQ","751.00","751.80","735.80","750.20","739.80","740.10","741.41","860.55","628.75","4,910,541","3,640,737,195.75","107,088"
"01-Mar-2023","EQ","742.40","753.45","741.00","742.25","750.00","750.20","747.65","860.55","628.75","3,744,982","2,799,944,265.10","94,279"
"28-Feb-2023","EQ","755.00","757.10","739.65","752.90","744.00","742.25","745.22","860.55","628.75","10,562,614","7,871,513,157.15","147,667"
"27-Feb-2023","EQ","753.00","754.40","738.45","757.10","753.50","752.90","747.25","860.55","628.75","6,719,439","5,021,132,650.65","115,748"
"24-Feb-2023","EQ","775.70","775.80","755.00","762.95","757.00","757.10","762.75","860.55","628.75","4,357,223","3,323,490,640.40","97,761"
"23-Feb-2023","EQ","774.00","777.50","761.85","772.15","765.00","762.95","767.56","860.55","628.75","4,062,194","3,117,959,411.20","97,508"
"22-Feb-2023","EQ","777.00","781.65","766.50","779.05","767.50","772.15","775.07","860.55","628.75","3,261,898","2,528,187,575.20","90,485"
"21-Feb-2023","EQ","783.05","788.00","778.15","779.15","780.90","779.05","782.61","860.55","628.75","2,769,616","2,167,522,736.25","112,863"
"20-Feb-2023","EQ","781.25","793.80","777.10","776.80","780.50","779.15","785.31","860.55","628.75","3,381,774","2,655,733,287.75","102,900"
"17-Feb-2023","EQ","785.95","787.45","770.30","784.45","777.00","776.80","779.61","860.55","628.75","3,093,216","2,411,514,605.20","73,933"
"16-Feb-2023","EQ","789.65","790.50","780.60","785.40","782.10","784.45","784.62","860.55","628.75","3,399,428","2,667,268,771.65","85,274"
"15-Feb-2023","EQ","775.00","787.15","772.20","775.20","786.20","785.40","780.87","860.55","628.75","3,602,838","2,813,347,209.80","78,664"
"14-Feb-2023","EQ","769.00","777.60","766.20","768.60","774.55","775.20","773.06","860.55","628.75","3,502,010","2,707,255,061.25","100,037"
"13-Feb-2023","EQ","771.00","779.60","766.70","771.95","766.70","768.60","773.34","860.55","628.75","3,705,892","2,865,902,928.95","91,500"
"10-Feb-2023","EQ","768.95","773.20","761.00","766.65","771.00","771.95","767.32","860.55","628.75","2,954,992","2,267,426,982.70","83,927"
"09-Feb-2023","EQ","770.00","775.10","761.30","775.10","767.00","766.65","765.93","860.55","628.75","5,913,945","4,529,647,065.65","131,483"
"08-Feb-2023","EQ","778.00","781.00","765.00","785.90","775.00","775.10","773.94","860.55","628.75","9,951,783","7,702,076,257.50","203,487"
"07-Feb-2023","EQ","793.90","795.85","783.00","789.25","786.35","785.90","788.74","860.55","628.75","4,126,502","3,254,737,871.90","98,376"
"06-Feb-2023","EQ","789.70","794.65","778.80","792.90","788.00","789.25","785.55","860.55","628.75","2,407,975","1,891,579,647.90","52,233"
"03-Feb-2023","EQ","779.90","794.95","778.40","777.75","791.50","792.90","788.35","860.55","628.75","5,493,687","4,330,966,677.05","119,608"
"02-Feb-2023","EQ","765.10","781.00","765.05","769.10","776.50","777.75","776.58","860.55","628.75","2,841,909","2,206,972,919.50","85,693"
"01-Feb-2023","EQ","775.95","784.65","756.60","770.30","768.15","769.10","773.37","860.55","628.75","4,472,974","3,459,246,357.25","114,583"
"31-Jan-2023","EQ","775.00","779.00","768.40","770.20","771.00","770.30","772.21","860.55","628.75","8,537,557","6,592,792,173.65","153,832"
"30-Jan-2023","EQ","771.60","774.95","763.00","774.50","772.75","770.20","768.66","860.55","628.75","5,420,851","4,166,805,348.95","120,447"
"27-Jan-2023","EQ","774.95","778.90","765.80","776.50","773.55","774.50","773.30","860.55","628.75","6,745,926","5,216,606,772.70","165,330"
"25-Jan-2023","EQ","774.95","780.50","768.00","775.65","777.15","776.50","775.16","860.55","628.75","6,560,514","5,085,446,377.05","178,976"
"24-Jan-2023","EQ","773.00","777.55","761.00","772.70","775.00","775.65","768.97","860.55","628.75","5,012,125","3,854,184,385.20","166,926"
"23-Jan-2023","EQ","767.90","776.00","763.85","764.45","771.75","772.70","771.85","860.55","628.75","2,685,320","2,072,654,013.70","73,631"
"20-Jan-2023","EQ","775.85","775.85","758.30","772.00","764.50","764.45","764.31","860.55","628.75","6,289,718","4,807,275,573.00","117,733"
"19-Jan-2023","EQ","776.00","776.50","765.65","776.55","770.50","772.00","771.16","860.55","628.75","4,169,463","3,215,310,671.45","98,036"
"18-Jan-2023","EQ","768.20","780.00","766.00","765.70","778.30","776.55","772.97","860.55","628.75","5,800,899","4,483,907,197.30","143,513"
"17-Jan-2023","EQ","759.15","768.90","758.75","759.15","766.90","765.70","763.84","860.55","628.75","6,594,428","5,037,079,690.30","144,722"
"16-Jan-2023","EQ","766.40","768.10","754.65","764.30","758.75","759.15","759.40","860.55","628.75","5,779,293","4,388,775,266.40","127,709"
"13-Jan-2023","EQ","757.00","765.95","752.00","756.90","764.60","764.30","758.51","860.55","628.75","12,279,288","9,313,978,908.75","182,066"
"12-Jan-2023","EQ","765.00","769.30","753.55","765.55","756.75","756.90","760.18","860.55","628.75","12,732,671","9,679,059,639.20","191,187"
"11-Jan-2023","EQ","775.00","779.65","751.65","792.85","765.40","765.55","763.51","860.55","628.75","28,389,020","21,675,281,579.40","435,071"
"10-Jan-2023","EQ","826.10","826.10","790.30","819.40","795.00","792.85","800.00","860.55","628.75","8,392,344","6,713,895,339.00","187,627"
"09-Jan-2023","EQ","802.70","821.50","801.05","796.00","819.10","819.40","817.14","860.55","628.75","4,340,729","3,546,979,332.70","139,832"
"06-Jan-2023","EQ","807.55","812.25","792.00","807.10","795.00","796.00","799.51","860.55","628.75","3,199,618","2,558,133,801.45","100,083"
"05-Jan-2023","EQ","825.00","825.00","803.75","811.80","806.95","807.10","810.92","860.55","628.75","5,297,349","4,295,702,465.25","149,144"
"04-Jan-2023","EQ","818.95","820.45","806.20","817.60","807.00","811.80","814.85","860.55","628.75","2,970,216","2,420,273,325.10","91,394"
"03-Jan-2023","EQ","810.35","818.80","808.50","813.50","817.00","817.60","814.13","860.55","628.75","1,717,603","1,398,352,259.70","68,680"
"02-Jan-2023","EQ","806.25","816.20","805.60","806.10","813.95","813.50","812.94","860.55","628.75","1,626,846","1,322,520,250.25","63,639"
"30-Dec-2022","EQ","824.70","824.80","804.95","820.75","808.40","806.10","811.31","860.55","628.75","3,113,243","2,525,811,276.40","81,120"
"29-Dec-2022","EQ","807.05","824.75","760.10","803.80","823.00","820.75","814.12","860.55","628.75","6,110,313","4,974,535,535.65","124,608"
"28-Dec-2022","EQ","813.00","813.90","801.45","814.80","803.30","803.80","806.55","860.55","628.75","2,907,741","2,345,225,830.60","86,146"
"27-Dec-2022","EQ","815.00","819.45","805.00","811.00","814.95","814.80","812.35","860.55","628.75","1,782,053","1,447,652,815.05","72,357"
"26-Dec-2022","EQ","805.05","815.20","801.15","808.65","809.25","811.00","808.71","860.55","628.75","6,023,206","4,871,044,496.85","101,992"
"23-Dec-2022","EQ","814.00","817.95","805.00","816.60","809.95","808.65","810.81","860.55","628.75","2,804,496","2,273,913,792.35","95,664"
"22-Dec-2022","EQ","819.00","824.70","809.50","814.00","816.30","816.60","818.55","860.55","628.75","3,626,834","2,968,737,260.25","87,131"
"21-Dec-2022","EQ","833.00","833.05","812.35","828.95","815.00","814.00","820.44","860.55","628.75","5,079,337","4,167,268,237.70","119,997"
"20-Dec-2022","EQ","839.75","839.75","822.00","840.40","827.90","828.95","827.42","860.55","628.75","2,828,863","2,340,659,186.60","83,436"
"19-Dec-2022","EQ","822.70","845.05","822.00","822.75","839.00","840.40","836.87","860.55","628.75","6,397,169","5,353,626,483.50","138,965"
"16-Dec-2022","EQ","825.00","832.70","819.90","826.35","822.90","822.75","824.98","860.55","628.75","4,309,644","3,555,365,558.60","93,171"
"15-Dec-2022","EQ","829.00","831.00","824.35","829.20","825.85","826.35","826.61","860.55","628.75","2,996,482","2,476,920,967.15","112,313"
"14-Dec-2022","EQ","840.65","842.00","828.15","838.05","828.90","829.20","831.00","860.55","628.75","7,491,333","6,225,279,058.20","111,283"
"13-Dec-2022","EQ","822.00","840.00","822.00","828.40","838.15","838.05","831.75","860.55","628.75","3,832,999","3,188,106,001.05","89,601"
"12-Dec-2022","EQ","832.60","836.95","825.40","834.90","828.50","828.40","829.90","860.55","628.75","3,149,823","2,614,026,026.75","89,894"
