"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","2,667.00","2,731.25","2,654.50","2,667.55","2,691.00","2,697.90","2,705.75","2,741.60","2,100.00","1,541,080","4,169,783,905.90","123,682"
"31-May-2023","EQ","2,656.55","2,680.00","2,638.00","2,656.55","2,667.65","2,667.55","2,663.64","2,741.60","2,100.00","3,388,305","9,025,215,313.35","105,365"
"30-May-2023","EQ","2,655.50","2,665.00","2,650.85","2,650.30","2,655.00","2,656.55","2,658.52","2,741.60","2,100.00","948,051","2,520,410,983.00","63,135"
"29-May-2023","EQ","2,670.00","2,679.55","2,645.05","2,652.35","2,649.50","2,650.30","2,662.94","2,741.60","2,100.00","698,267","1,859,444,941.95","53,571"
"26-May-2023","EQ","2,603.75","2,656.70","2,603.10","2,597.25","2,652.05","2,652.35","2,630.25","2,741.60","2,100.00","947,073","2,491,037,808.50","52,677"
"25-May-2023","EQ","2,610.00","2,626.15","2,580.55","2,614.95","2,598.05","2,597.25","2,595.97","2,741.60","2,100.00","1,072,231","2,783,479,757.80","55,384"
"24-May-2023","EQ","2,620.00","2,638.00","2,608.00","2,628.30","2,615.35","2,614.95","2,620.03","2,741.60","2,100.00","628,872","1,647,666,150.90","62,129"
"23-May-2023","EQ","2,632.00","2,649.80","2,625.00","2,638.10","2,631.85","2,628.30","2,635.01","2,741.60","2,100.00","703,864","1,854,688,998.70","95,345"
"22-May-2023","EQ","2,635.00","2,655.45","2,623.05","2,641.45","2,636.00","2,638.10","2,640.05","2,741.60","2,100.00","768,232","2,028,173,313.50","44,256"
"19-May-2023","EQ","2,628.65","2,649.00","2,600.65","2,627.55","2,641.00","2,641.45","2,623.50","2,741.60","2,100.00","1,174,757","3,081,969,403.45","85,683"
"18-May-2023","EQ","2,665.50","2,669.20","2,621.85","2,661.75","2,627.00","2,627.55","2,640.55","2,741.60","2,100.00","1,434,067","3,786,723,826.60","94,635"
"17-May-2023","EQ","2,672.00","2,674.00","2,647.05","2,675.90","2,659.10","2,661.75","2,663.18","2,741.60","2,100.00","839,404","2,235,485,781.50","82,314"
"16-May-2023","EQ","2,670.00","2,678.40","2,650.60","2,662.25","2,670.10","2,675.90","2,667.98","2,741.60","2,100.00","1,477,905","3,943,016,050.35","83,726"
"15-May-2023","EQ","2,637.95","2,670.75","2,623.05","2,623.40","2,659.10","2,662.25","2,656.23","2,741.60","2,100.00","1,561,055","4,146,528,318.20","171,332"
"12-May-2023","EQ","2,594.00","2,640.00","2,586.40","2,592.40","2,619.05","2,623.40","2,621.43","2,741.60","2,100.00","2,170,011","5,688,530,941.25","150,578"
"11-May-2023","EQ","2,536.95","2,599.00","2,523.60","2,522.70","2,590.00","2,592.40","2,566.19","2,741.60","2,100.00","1,749,356","4,489,171,358.20","106,466"
"10-May-2023","EQ","2,521.00","2,535.00","2,505.85","2,515.80","2,518.30","2,522.70","2,524.64","2,741.60","2,100.00","2,025,658","5,114,064,638.75","90,860"
"09-May-2023","EQ","2,525.00","2,525.00","2,500.05","2,516.30","2,514.00","2,515.80","2,510.45","2,741.60","2,100.00","1,651,327","4,145,581,417.15","83,682"
"08-May-2023","EQ","2,505.75","2,526.85","2,497.15","2,500.75","2,516.95","2,516.30","2,516.56","2,741.60","2,100.00","972,810","2,448,131,241.50","72,102"
"05-May-2023","EQ","2,500.00","2,520.00","2,494.70","2,506.75","2,501.20","2,500.75","2,506.34","2,741.60","2,100.00","1,354,871","3,395,766,308.10","115,127"
