"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","1,280.00","1,298.00","1,251.50","1,286.60","1,291.00","1,290.15","1,287.32","1,298.00","763.20","3,244,947","4,177,275,793.15","77,821"
"31-May-2023","EQ","1,289.00","1,297.40","1,277.25","1,293.25","1,283.15","1,286.60","1,286.91","1,297.40","763.20","2,764,078","3,557,120,741.70","73,327"
"30-May-2023","EQ","1,284.95","1,296.15","1,276.40","1,284.95","1,293.00","1,293.25","1,287.90","1,296.15","763.20","1,818,000","2,341,404,733.65","59,345"
"29-May-2023","EQ","1,272.20","1,295.00","1,272.00","1,268.05","1,283.35","1,284.95","1,288.68","1,295.00","763.20","2,985,334","3,847,150,313.60","109,784"
"26-May-2023","EQ","1,256.45","1,272.45","1,255.90","1,263.40","1,266.15","1,268.05","1,264.83","1,275.90","763.20","1,981,580","2,506,365,018.85","46,749"
"25-May-2023","EQ","1,268.95","1,271.90","1,249.70","1,271.75","1,260.10","1,263.40","1,260.46","1,275.90","763.20","2,589,092","3,263,446,864.80","70,216"
"24-May-2023","EQ","1,255.00","1,275.90","1,247.65","1,260.20","1,273.50","1,271.75","1,262.55","1,275.90","763.20","2,782,379","3,512,890,511.25","62,090"
"23-May-2023","EQ","1,246.00","1,266.90","1,245.00","1,246.15","1,258.80","1,260.20","1,259.85","1,275.80","763.20","2,142,459","2,699,176,116.35","54,383"
"22-May-2023","EQ","1,247.00","1,251.00","1,232.50","1,248.00","1,245.00","1,246.15","1,241.94","1,275.80","763.20","2,106,351","2,615,952,418.45","72,535"
"19-May-2023","EQ","1,243.00","1,251.00","1,221.60","1,238.90","1,247.60","1,248.00","1,234.84","1,275.80","763.20","2,366,675","2,922,475,581.60","73,155"
"18-May-2023","EQ","1,248.00","1,248.00","1,230.70","1,236.15","1,237.35","1,238.90","1,238.06","1,275.80","763.20","2,489,971","3,082,743,687.55","70,220"
"17-May-2023","EQ","1,217.05","1,248.00","1,214.00","1,220.30","1,232.00","1,236.15","1,233.12","1,275.80","763.20","4,661,849","5,748,635,962.75","100,780"
"16-May-2023","EQ","1,219.55","1,226.10","1,208.65","1,219.55","1,220.00","1,220.30","1,220.12","1,275.80","763.20","2,888,698","3,524,554,642.15","89,175"
"15-May-2023","EQ","1,208.60","1,222.65","1,196.00","1,208.65","1,219.00","1,219.55","1,213.39","1,275.80","763.20","3,323,300","4,032,450,109.70","84,274"
"12-May-2023","EQ","1,192.50","1,214.00","1,176.05","1,187.45","1,208.00","1,208.65","1,196.30","1,275.80","763.20","3,983,609","4,765,580,759.70","149,314"
"11-May-2023","EQ","1,175.00","1,200.00","1,169.25","1,172.55","1,187.35","1,187.45","1,188.42","1,275.80","763.20","6,086,958","7,233,868,699.10","175,116"
"10-May-2023","EQ","1,155.00","1,175.80","1,150.00","1,140.60","1,172.20","1,172.55","1,164.61","1,275.80","763.20","6,466,598","7,531,096,073.95","166,867"
"09-May-2023","EQ","1,135.00","1,149.90","1,131.10","1,126.35","1,141.65","1,140.60","1,142.16","1,275.80","763.20","4,181,498","4,775,920,476.90","173,111"
"08-May-2023","EQ","1,087.00","1,134.65","1,087.00","1,073.30","1,128.30","1,126.35","1,123.16","1,275.80","763.20","6,764,292","7,597,355,761.40","145,563"
"05-May-2023","EQ","1,131.00","1,154.95","1,065.35","1,134.60","1,082.75","1,073.30","1,104.96","1,275.80","763.20","8,504,838","9,397,526,137.75","169,203"
"04-May-2023","EQ","1,146.15","1,151.00","1,129.00","1,146.15","1,131.00","1,134.60","1,136.71","1,275.80","763.20","2,752,160","3,128,399,914.20","59,700"
"03-May-2023","EQ","1,142.50","1,159.90","1,140.30","1,150.90","1,145.50","1,146.15","1,148.38","1,275.80","763.20","1,816,420","2,085,940,436.30","44,684"
"02-May-2023","EQ","1,158.95","1,161.85","1,150.00","1,152.80","1,151.90","1,150.90","1,155.92","1,275.80","763.20","2,000,569","2,312,505,618.40","67,051"
"28-Apr-2023","EQ","1,148.75","1,157.55","1,135.00","1,144.75","1,153.00","1,152.80","1,145.51","1,275.80","763.20","2,239,678","2,565,565,544.90","71,915"
"27-Apr-2023","EQ","1,140.00","1,148.45","1,130.00","1,137.80","1,142.85","1,144.75","1,142.83","1,275.80","763.20","2,990,958","3,418,148,241.05","79,941"
"26-Apr-2023","EQ","1,117.75","1,139.80","1,115.15","1,121.75","1,138.00","1,137.80","1,131.74","1,275.80","763.20","2,688,362","3,042,525,608.35","73,663"
"25-Apr-2023","EQ","1,119.95","1,127.60","1,113.10","1,102.00","1,119.95","1,121.75","1,121.02","1,275.80","763.20","5,268,567","5,906,187,668.95","128,234"
"24-Apr-2023","EQ","1,130.75","1,141.00","1,092.00","1,116.35","1,101.35","1,102.00","1,116.24","1,275.80","763.20","7,711,772","8,608,152,710.15","147,551"
"21-Apr-2023","EQ","1,126.20","1,135.75","1,108.35","1,126.20","1,114.20","1,116.35","1,121.19","1,275.80","763.20","1,894,300","2,123,871,214.75","60,760"
"20-Apr-2023","EQ","1,118.95","1,131.55","1,112.40","1,120.40","1,126.80","1,126.20","1,122.18","1,275.80","763.20","2,530,597","2,839,780,201.10","60,695"
"19-Apr-2023","EQ","1,143.00","1,145.90","1,118.55","1,146.90","1,118.80","1,120.40","1,128.39","1,275.80","763.20","2,207,739","2,491,181,422.80","60,270"
"18-Apr-2023","EQ","1,130.00","1,149.50","1,127.05","1,124.35","1,146.30","1,146.90","1,140.62","1,275.80","763.20","4,455,007","5,081,467,348.30","106,054"
"17-Apr-2023","EQ","1,107.40","1,136.70","1,105.00","1,109.30","1,120.00","1,124.35","1,122.24","1,275.80","763.20","5,360,050","6,015,268,988.65","115,990"
"13-Apr-2023","EQ","1,073.00","1,114.50","1,007.95","1,074.75","1,105.00","1,109.30","1,078.05","1,275.80","763.20","6,082,307","6,557,033,299.30","139,938"
"12-Apr-2023","EQ","1,073.50","1,077.10","1,057.55","1,074.20","1,074.75","1,074.75","1,067.25","1,275.80","763.20","3,005,913","3,208,046,612.75","80,632"
"11-Apr-2023","EQ","1,077.40","1,078.10","1,055.05","1,069.30","1,075.00","1,074.20","1,072.15","1,275.80","763.20","1,932,390","2,071,812,057.05","72,178"
"10-Apr-2023","EQ","1,082.00","1,083.00","1,063.00","1,082.00","1,070.00","1,069.30","1,071.50","1,275.80","763.20","1,602,094","1,716,648,336.15","42,228"
"06-Apr-2023","EQ","1,067.20","1,093.45","1,064.25","1,067.20","1,084.00","1,082.00","1,082.26","1,275.80","763.20","3,458,673","3,743,179,165.25","84,282"
"05-Apr-2023","EQ","1,089.00","1,089.20","1,060.10","1,078.75","1,066.00","1,067.20","1,067.58","1,275.80","763.20","2,979,782","3,181,170,483.15","64,932"
"03-Apr-2023","EQ","1,073.00","1,081.15","1,064.00","1,067.95","1,079.65","1,078.75","1,073.54","1,275.80","763.20","1,534,155","1,646,981,516.90","46,351"
"31-Mar-2023","EQ","1,063.00","1,076.00","1,060.40","1,057.10","1,069.00","1,067.95","1,069.37","1,275.80","763.20","3,097,113","3,311,958,612.05","101,118"
"29-Mar-2023","EQ","1,031.00","1,063.95","1,025.00","1,036.15","1,057.00","1,057.10","1,046.88","1,275.80","763.20","5,803,091","6,075,112,760.90","123,485"
"28-Mar-2023","EQ","1,017.70","1,038.40","1,007.20","1,012.85","1,033.00","1,036.15","1,028.51","1,275.80","763.20","4,396,283","4,521,639,177.55","132,396"
"27-Mar-2023","EQ","1,014.00","1,020.95","1,004.00","1,009.55","1,012.30","1,012.85","1,012.46","1,275.80","763.20","2,116,764","2,143,148,847.55","78,342"
"24-Mar-2023","EQ","1,019.00","1,024.95","1,004.65","1,018.25","1,009.50","1,009.55","1,015.32","1,275.80","763.20","2,709,449","2,750,945,553.75","92,082"
"23-Mar-2023","EQ","1,028.15","1,046.20","1,014.25","1,031.15","1,018.00","1,018.25","1,034.02","1,275.80","763.20","3,703,523","3,829,502,929.55","94,198"
"22-Mar-2023","EQ","1,028.00","1,044.00","1,024.15","1,022.85","1,031.90","1,031.15","1,034.40","1,275.80","763.20","2,992,139","3,095,060,508.60","86,599"
"21-Mar-2023","EQ","1,007.35","1,029.95","996.00","1,002.30","1,019.50","1,022.85","1,012.14","1,275.80","763.20","6,200,518","6,275,822,056.15","119,827"
"20-Mar-2023","EQ","1,020.00","1,020.00","990.20","1,020.50","1,000.20","1,002.30","1,001.37","1,275.80","763.20","5,439,347","5,446,797,905.75","154,966"
