"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","2,217.00","2,222.00","2,202.15","2,205.65","2,209.40","2,207.80","2,211.72","2,416.35","1,456.35","1,049,488","2,321,170,531.55","77,153"
"31-May-2023","EQ","2,201.10","2,224.00","2,200.00","2,210.80","2,212.50","2,205.65","2,207.16","2,416.35","1,456.35","2,809,284","6,200,544,991.75","72,450"
"30-May-2023","EQ","2,230.00","2,237.00","2,207.20","2,224.55","2,212.50","2,210.80","2,215.65","2,416.35","1,456.35","1,716,729","3,803,668,166.15","63,987"
"29-May-2023","EQ","2,225.00","2,241.80","2,220.20","2,218.45","2,227.30","2,224.55","2,230.23","2,416.35","1,456.35","1,369,656","3,054,642,456.65","62,359"
"26-May-2023","EQ","2,209.00","2,220.75","2,201.00","2,204.70","2,218.00","2,218.45","2,213.00","2,416.35","1,456.35","1,249,128","2,764,318,879.35","59,656"
"25-May-2023","EQ","2,190.00","2,207.30","2,178.00","2,185.15","2,205.55","2,204.70","2,190.71","2,416.35","1,456.35","1,689,521","3,701,256,865.80","110,789"
"24-May-2023","EQ","2,200.00","2,208.50","2,176.00","2,197.65","2,190.00","2,185.15","2,189.90","2,416.35","1,456.35","2,648,479","5,799,912,291.00","177,358"
"23-May-2023","EQ","2,225.60","2,228.60","2,194.00","2,216.60","2,196.00","2,197.65","2,203.51","2,416.35","1,456.35","2,265,389","4,991,800,513.00","148,396"
"22-May-2023","EQ","2,190.00","2,222.00","2,178.40","2,190.05","2,219.75","2,216.60","2,211.10","2,416.35","1,456.35","1,112,099","2,458,966,165.50","79,757"
"19-May-2023","EQ","2,192.00","2,199.05","2,168.50","2,188.20","2,194.00","2,190.05","2,183.81","2,416.35","1,456.35","1,729,803","3,777,564,560.35","126,536"
"18-May-2023","EQ","2,230.00","2,233.55","2,181.00","2,219.60","2,187.60","2,188.20","2,204.09","2,416.35","1,456.35","2,290,757","5,049,027,902.95","90,474"
"17-May-2023","EQ","2,224.35","2,244.00","2,210.20","2,227.20","2,217.50","2,219.60","2,223.69","2,416.35","1,456.35","1,961,004","4,360,662,313.15","154,051"
"16-May-2023","EQ","2,254.60","2,255.00","2,223.10","2,246.85","2,227.55","2,227.20","2,234.36","2,416.35","1,456.35","2,528,855","5,650,378,608.00","204,858"
"15-May-2023","EQ","2,220.90","2,260.00","2,215.00","2,221.10","2,243.00","2,246.85","2,245.48","2,416.35","1,456.35","2,662,740","5,979,133,304.65","189,172"
"12-May-2023","EQ","2,222.65","2,235.00","2,197.35","2,242.15","2,226.00","2,221.10","2,216.56","2,416.35","1,456.35","5,367,292","11,896,941,825.55","270,385"
"11-May-2023","EQ","2,300.00","2,314.05","2,237.35","2,364.45","2,244.00","2,242.15","2,255.59","2,416.35","1,456.35","9,470,848","21,362,395,284.80","517,410"
"10-May-2023","EQ","2,387.00","2,388.95","2,350.00","2,374.35","2,372.80","2,364.45","2,362.84","2,416.35","1,456.35","1,675,409","3,958,730,205.45","68,774"
"09-May-2023","EQ","2,367.65","2,401.90","2,367.65","2,365.40","2,374.95","2,374.35","2,380.73","2,416.35","1,456.35","1,417,301","3,374,208,041.20","102,983"
"08-May-2023","EQ","2,377.45","2,385.00","2,354.05","2,377.50","2,368.00","2,365.40","2,368.84","2,416.35","1,456.35","1,583,576","3,751,236,289.35","63,374"
"05-May-2023","EQ","2,357.00","2,406.95","2,357.00","2,356.90","2,379.45","2,377.50","2,389.07","2,416.35","1,456.35","2,425,866","5,795,571,367.25","133,605"
"04-May-2023","EQ","2,361.80","2,381.65","2,342.85","2,356.30","2,363.00","2,356.90","2,357.79","2,416.35","1,456.35","1,230,912","2,902,234,986.20","59,655"
"03-May-2023","EQ","2,384.10","2,390.00","2,348.50","2,384.45","2,355.80","2,356.30","2,362.54","2,416.35","1,456.35","998,235","2,358,370,082.20","67,794"
"02-May-2023","EQ","2,373.20","2,416.35","2,373.20","2,364.40","2,387.00","2,384.45","2,393.24","2,416.35","1,456.35","1,840,153","4,403,931,558.40","101,401"
"28-Apr-2023","EQ","2,312.30","2,369.00","2,312.30","2,305.60","2,360.00","2,364.40","2,346.47","2,369.00","1,456.35","2,884,961","6,769,472,231.40","109,342"
"27-Apr-2023","EQ","2,275.75","2,310.00","2,267.10","2,276.15","2,305.50","2,305.60","2,294.66","2,330.00","1,456.35","1,252,989","2,875,179,639.60","60,784"
"26-Apr-2023","EQ","2,247.85","2,287.30","2,244.05","2,247.95","2,276.00","2,276.15","2,271.49","2,330.00","1,456.35","1,894,812","4,304,048,330.15","86,235"
