"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","9,337.50","9,377.55","9,222.00","9,367.70","9,330.00","9,328.30","9,306.45","9,769.00","7,555.00","378,706","3,524,409,606.20","46,443"
"31-May-2023","EQ","9,449.95","9,449.95","9,267.60","9,383.35","9,325.00","9,367.70","9,357.38","9,769.00","7,555.00","1,614,766","15,109,983,758.15","82,790"
"30-May-2023","EQ","9,380.00","9,402.90","9,300.00","9,333.50","9,400.00","9,383.35","9,367.82","9,769.00","7,555.00","372,004","3,484,866,364.50","44,620"
"29-May-2023","EQ","9,435.00","9,488.80","9,312.05","9,399.95","9,334.00","9,333.50","9,369.96","9,769.00","7,555.00","236,834","2,219,126,179.60","29,993"
"26-May-2023","EQ","9,333.00","9,415.00","9,311.25","9,281.85","9,400.00","9,399.95","9,385.38","9,769.00","7,555.00","346,760","3,254,474,348.25","49,140"
"25-May-2023","EQ","9,220.75","9,293.40","9,216.05","9,270.75","9,282.05","9,281.85","9,262.50","9,769.00","7,555.00","218,979","2,028,293,008.15","28,075"
"24-May-2023","EQ","9,168.00","9,318.20","9,159.00","9,200.70","9,277.00","9,270.75","9,277.46","9,769.00","7,555.00","470,365","4,363,791,600.30","47,175"
"23-May-2023","EQ","9,169.00","9,235.00","9,156.75","9,156.65","9,190.00","9,200.70","9,201.24","9,769.00","7,555.00","269,008","2,475,207,117.80","31,647"
"22-May-2023","EQ","9,090.00","9,169.70","9,073.85","9,105.95","9,150.00","9,156.65","9,144.98","9,769.00","7,555.00","182,115","1,665,437,934.75","27,045"
"19-May-2023","EQ","9,060.00","9,118.20","8,960.55","9,053.30","9,108.00","9,105.95","9,021.45","9,769.00","7,150.00","543,472","4,902,904,246.25","30,517"
"18-May-2023","EQ","9,144.95","9,150.00","9,044.10","9,119.40","9,068.95","9,053.30","9,090.66","9,769.00","7,150.00","272,497","2,477,178,262.30","40,717"
"17-May-2023","EQ","9,080.35","9,132.00","9,032.05","9,071.35","9,122.15","9,119.40","9,083.78","9,769.00","7,150.00","290,482","2,638,674,503.95","44,537"
"16-May-2023","EQ","9,219.10","9,229.30","9,057.10","9,207.30","9,074.95","9,071.35","9,112.41","9,769.00","7,150.00","448,981","4,091,300,130.60","67,682"
"15-May-2023","EQ","9,242.00","9,307.50","9,185.40","9,295.40","9,200.05","9,207.30","9,233.32","9,769.00","7,150.00","259,316","2,394,347,052.55","45,117"
"12-May-2023","EQ","9,260.95","9,329.80","9,232.65","9,260.90","9,272.00","9,295.40","9,275.88","9,769.00","7,062.35","403,028","3,738,440,470.40","57,527"
"11-May-2023","EQ","9,242.95","9,315.00","9,142.05","9,168.15","9,260.00","9,260.90","9,245.10","9,769.00","7,062.35","644,550","5,958,927,392.80","65,745"
"10-May-2023","EQ","9,128.80","9,180.00","9,060.00","9,111.55","9,144.95","9,168.15","9,115.25","9,769.00","7,062.35","366,827","3,343,719,121.50","64,875"
