"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","173.60","174.70","171.85","173.85","174.40","174.40","173.63","182.95","134.95","11,602,551","2,014,593,946.30","74,062"
"31-May-2023","EQ","177.00","177.00","171.95","176.80","172.65","173.85","173.85","182.95","134.95","41,785,992","7,264,452,356.65","142,160"
"30-May-2023","EQ","177.00","178.00","175.60","176.30","176.40","176.80","176.72","182.95","134.95","9,727,639","1,719,069,837.85","58,714"
"29-May-2023","EQ","174.95","177.80","174.80","174.50","176.40","176.30","176.44","182.95","134.95","9,943,211","1,754,363,411.80","68,982"
"26-May-2023","EQ","175.00","177.25","174.10","174.50","174.25","174.50","175.08","182.95","134.95","6,926,193","1,212,603,722.80","47,328"
"25-May-2023","EQ","174.95","175.55","173.40","174.95","174.60","174.50","174.40","182.95","134.95","7,986,243","1,392,778,808.60","45,233"
"24-May-2023","EQ","174.00","175.30","173.45","174.15","175.00","174.95","174.73","182.95","134.95","8,507,023","1,486,419,762.50","39,483"
"23-May-2023","EQ","174.95","175.65","172.80","174.10","174.20","174.15","174.54","182.95","134.95","8,359,389","1,459,018,189.30","54,174"
"22-May-2023","EQ","173.30","177.05","173.15","173.30","174.20","174.10","175.16","182.95","134.95","13,339,834","2,336,571,110.65","89,650"
"19-May-2023","EQ","175.00","175.35","172.95","175.10","173.30","173.30","173.87","182.95","134.95","6,657,753","1,157,554,446.70","74,123"
"18-May-2023","EQ","177.00","177.70","174.65","176.00","175.15","175.10","176.51","182.95","134.95","6,921,939","1,221,793,737.65","61,481"
"17-May-2023","EQ","177.45","177.85","175.05","177.45","176.25","176.00","176.18","182.95","134.95","6,639,494","1,169,735,402.35","80,122"
"16-May-2023","EQ","176.90","178.00","175.50","175.95","177.50","177.45","176.96","182.95","134.95","7,874,923","1,393,547,576.45","83,164"
"15-May-2023","EQ","174.00","176.75","173.85","174.95","176.00","175.95","175.66","182.95","134.95","7,980,565","1,401,884,301.65","94,065"
