"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","232.95","234.10","230.05","233.85","233.10","233.00","232.69","249.60","186.35","6,603,593","1,536,559,000.75","80,254"
"31-May-2023","EQ","235.00","235.20","230.00","235.10","231.25","233.85","233.79","249.60","186.35","36,078,118","8,434,650,183.20","91,015"
"30-May-2023","EQ","235.90","235.90","233.70","234.50","234.95","235.10","234.96","249.60","186.35","7,102,445","1,668,780,678.00","72,934"
"29-May-2023","EQ","238.20","238.35","234.10","237.30","234.90","234.50","235.99","249.60","186.35","10,228,723","2,413,828,690.95","68,728"
"26-May-2023","EQ","237.85","237.90","234.80","237.95","237.00","237.30","236.35","249.60","186.35","5,108,851","1,207,498,872.10","53,443"
"25-May-2023","EQ","237.70","240.30","236.30","235.80","238.10","237.95","237.71","249.60","186.35","9,377,061","2,228,994,562.70","64,462"
"24-May-2023","EQ","237.80","237.85","234.85","234.10","236.20","235.80","235.99","249.60","186.35","6,658,479","1,571,365,916.45","66,422"
"23-May-2023","EQ","234.05","236.55","233.35","234.35","234.00","234.10","234.86","249.60","186.35","9,343,921","2,194,546,821.25","89,277"
"22-May-2023","EQ","234.70","239.00","232.65","233.70","234.20","234.35","235.10","249.60","186.35","9,424,597","2,215,735,775.80","82,594"
"19-May-2023","EQ","235.65","237.50","232.00","235.65","233.85","233.70","234.11","249.60","186.35","7,553,771","1,768,385,288.90","76,447"
"18-May-2023","EQ","241.00","241.00","234.60","238.80","235.00","235.65","236.84","249.60","186.35","10,873,293","2,575,280,581.75","58,879"
"17-May-2023","EQ","240.90","241.90","237.45","240.60","238.50","238.80","239.24","249.60","186.35","8,670,697","2,074,358,857.65","57,419"
"16-May-2023","EQ","243.55","244.55","240.00","243.25","240.05","240.60","241.04","249.60","186.35","8,563,882","2,064,269,491.20","59,973"
"15-May-2023","EQ","243.40","245.65","242.35","241.75","243.20","243.25","243.54","249.60","186.35","9,140,823","2,226,160,132.35","63,950"
"12-May-2023","EQ","248.85","249.60","241.15","248.55","242.10","241.75","244.62","249.60","186.35","10,390,356","2,541,645,062.55","77,565"
"11-May-2023","EQ","247.70","249.20","246.60","247.65","248.40","248.55","248.17","249.20","186.35","9,462,545","2,348,293,658.45","89,357"
"10-May-2023","EQ","245.15","247.95","244.60","243.40","247.45","247.65","246.55","248.35","186.35","7,267,057","1,791,708,360.45","70,731"
"09-May-2023","EQ","244.05","246.90","242.70","244.75","242.95","243.40","244.41","248.35","186.35","6,875,206","1,680,364,447.25","80,369"
"08-May-2023","EQ","241.85","246.25","241.10","241.05","244.50","244.75","244.90","248.35","186.35","6,568,741","1,608,666,942.55","77,646"
