"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","979.80","990.45","975.00","975.35","986.55","987.70","983.55","1,072.15","789.90","3,261,906","3,208,253,096.70","74,533"
"31-May-2023","EQ","965.00","979.30","960.75","959.60","976.00","975.35","973.98","1,072.15","789.90","5,595,631","5,450,034,758.05","105,928"
"30-May-2023","EQ","965.00","967.45","956.30","968.45","960.90","959.60","960.70","1,072.15","789.90","2,624,815","2,521,672,254.65","92,196"
"29-May-2023","EQ","969.95","973.25","946.40","969.90","968.50","968.45","958.17","1,072.15","789.90","5,344,765","5,121,168,398.30","134,349"
"26-May-2023","EQ","943.95","976.70","937.00","945.00","966.95","969.90","959.02","1,072.15","789.90","4,137,189","3,967,651,622.65","120,512"
"25-May-2023","EQ","949.70","951.70","942.70","952.15","944.90","945.00","945.40","1,072.15","789.90","2,331,464","2,204,164,442.10","84,291"
"24-May-2023","EQ","935.50","954.80","932.60","931.60","950.00","952.15","945.44","1,072.15","789.90","2,953,574","2,792,427,398.10","96,543"
"23-May-2023","EQ","937.50","956.20","929.10","937.45","930.15","931.60","936.61","1,072.15","789.90","3,057,684","2,863,843,773.85","70,174"
"22-May-2023","EQ","925.85","942.75","922.85","925.85","938.80","937.45","938.04","1,072.15","789.90","1,382,485","1,296,824,080.70","78,356"
"19-May-2023","EQ","932.00","934.40","924.30","929.65","927.20","925.85","926.22","1,072.15","789.90","1,309,343","1,212,736,699.15","47,852"
"18-May-2023","EQ","943.00","943.00","922.45","935.95","930.30","929.65","928.85","1,072.15","789.90","3,014,019","2,799,563,874.40","77,919"
"17-May-2023","EQ","941.25","945.30","928.85","940.95","934.70","935.95","936.51","1,072.15","789.90","2,956,985","2,769,237,987.25","98,004"
"16-May-2023","EQ","953.00","962.55","938.00","953.00","939.40","940.95","948.69","1,072.15","789.90","2,625,163","2,490,473,944.30","72,636"
"15-May-2023","EQ","953.00","955.75","948.05","956.00","954.00","953.00","951.84","1,072.15","789.90","1,814,239","1,726,871,573.10","61,574"
"12-May-2023","EQ","961.00","963.10","952.00","961.05","953.65","956.00","957.72","1,072.15","789.90","2,014,927","1,929,729,971.85","62,793"
"11-May-2023","EQ","953.80","963.90","952.00","953.80","961.50","961.05","958.54","1,072.15","789.90","1,296,607","1,242,851,614.10","50,366"
"10-May-2023","EQ","957.00","959.95","951.60","957.45","954.00","953.80","954.11","1,072.15","789.90","2,180,917","2,080,841,547.95","58,497"
"09-May-2023","EQ","961.90","966.85","949.50","961.85","956.80","957.45","953.75","1,072.15","789.90","6,902,170","6,582,958,419.35","135,878"
"08-May-2023","EQ","962.00","969.00","961.00","970.45","961.90","961.85","964.48","1,072.15","789.90","2,676,958","2,581,882,515.20","76,995"
"05-May-2023","EQ","974.00","977.25","967.85","974.00","970.80","970.45","972.20","1,072.15","789.90","1,062,645","1,033,104,234.70","43,693"
"04-May-2023","EQ","967.65","975.90","965.15","963.60","974.00","974.00","971.20","1,072.15","789.90","1,197,830","1,163,338,179.10","42,591"
"03-May-2023","EQ","970.50","972.40","959.50","973.05","962.60","963.60","965.02","1,072.15","789.90","3,087,472","2,979,469,945.20","112,036"
"02-May-2023","EQ","987.65","988.90","970.30","987.65","972.40","973.05","976.20","1,072.15","789.90","3,152,556","3,077,529,337.95","92,725"
"28-Apr-2023","EQ","984.95","992.50","979.15","978.70","986.45","987.65","988.20","1,072.15","789.90","2,009,995","1,986,284,361.00","52,929"
"27-Apr-2023","EQ","968.00","981.60","963.55","971.25","979.60","978.70","968.38","1,072.15","789.90","2,777,173","2,689,356,030.45","64,780"
"26-Apr-2023","EQ","975.80","976.80","963.20","972.50","971.90","971.25","967.50","1,072.15","789.90","2,911,028","2,816,425,935.30","52,256"
"25-Apr-2023","EQ","980.00","982.90","967.00","979.15","972.20","972.50","972.70","1,072.15","789.90","2,377,746","2,312,832,100.40","84,481"
"24-Apr-2023","EQ","975.00","982.50","959.25","989.45","980.05","979.15","969.25","1,072.15","789.90","3,485,350","3,378,165,387.20","137,148"
"21-Apr-2023","EQ","994.30","994.30","984.95","987.75","986.90","989.45","989.16","1,072.15","789.90","1,216,575","1,203,387,148.60","40,802"
"20-Apr-2023","EQ","999.10","1,002.10","983.75","995.50","988.00","987.75","990.90","1,072.15","789.90","1,638,094","1,623,191,706.90","59,935"
"19-Apr-2023","EQ","1,003.50","1,009.40","993.00","1,004.80","995.00","995.50","999.58","1,072.15","789.90","2,174,563","2,173,660,398.65","70,970"
"18-Apr-2023","EQ","999.00","1,006.25","988.30","998.70","1,006.00","1,004.80","996.83","1,072.15","789.90","1,217,390","1,213,530,740.90","46,398"
"17-Apr-2023","EQ","999.45","1,009.90","995.05","1,003.50","999.00","998.70","999.67","1,072.15","789.90","1,768,817","1,768,240,346.50","111,052"
"13-Apr-2023","EQ","1,022.30","1,023.85","1,002.00","1,016.70","1,003.75","1,003.50","1,007.12","1,072.15","789.90","1,445,693","1,455,992,867.70","54,067"
