"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","527.50","536.25","522.85","526.30","534.40","535.20","530.62","537.15","375.20","12,511,265","6,638,755,708.10","181,634"
"31-May-2023","EQ","519.95","527.50","516.40","518.80","525.00","526.30","525.17","537.15","375.20","12,327,284","6,473,876,480.20","127,058"
"30-May-2023","EQ","521.45","523.50","518.00","521.45","519.15","518.80","520.08","537.15","375.20","5,134,688","2,670,426,378.20","86,163"
"29-May-2023","EQ","525.00","525.10","519.70","518.45","521.00","521.45","522.06","537.15","375.20","6,596,504","3,443,791,163.95","89,053"
"26-May-2023","EQ","514.90","519.75","512.20","514.85","517.80","518.45","516.76","537.15","375.20","8,360,570","4,320,440,656.10","117,543"
"25-May-2023","EQ","518.00","518.00","509.10","520.20","515.30","514.85","512.49","537.15","375.20","11,543,712","5,916,052,457.85","171,115"
"24-May-2023","EQ","527.15","529.65","519.15","528.50","520.60","520.20","523.70","537.15","375.20","7,648,284","4,005,369,402.50","134,108"
"23-May-2023","EQ","522.50","531.00","521.15","522.50","527.70","528.50","527.44","537.15","375.20","12,256,902","6,464,833,065.30","193,749"
"22-May-2023","EQ","524.95","527.00","519.35","524.95","522.10","522.50","522.43","537.15","375.20","9,978,339","5,212,948,685.25","206,397"
"19-May-2023","EQ","509.80","526.40","504.75","508.45","525.00","524.95","517.71","537.15","375.20","19,343,560","10,014,433,487.15","237,137"
"18-May-2023","EQ","518.80","520.90","507.10","515.50","508.95","508.45","512.17","537.15","375.20","12,293,322","6,296,290,146.05","139,659"
"17-May-2023","EQ","522.50","523.95","512.50","521.15","515.75","515.50","518.54","537.15","375.20","13,684,847","7,096,176,117.35","202,405"
"16-May-2023","EQ","533.95","535.95","518.85","530.85","522.20","521.15","529.80","537.15","375.20","16,514,882","8,749,583,814.50","288,066"
"15-May-2023","EQ","523.85","537.15","521.50","515.95","530.55","530.85","531.67","537.15","375.20","38,270,067","20,347,160,068.80","402,779"
"12-May-2023","EQ","513.90","520.50","510.30","511.60","513.80","515.95","515.57","520.50","366.20","19,766,717","10,191,090,680.00","209,963"
"11-May-2023","EQ","512.00","514.15","505.50","509.50","511.95","511.60","509.78","514.15","366.20","11,454,020","5,839,072,782.55","182,544"
"10-May-2023","EQ","508.00","512.90","504.35","503.65","510.05","509.50","507.76","512.90","366.20","12,481,404","6,337,556,705.05","142,503"
"09-May-2023","EQ","502.00","512.80","501.55","500.50","504.65","503.65","507.14","512.80","366.20","19,818,780","10,050,956,213.60","252,055"
"08-May-2023","EQ","480.00","502.30","478.10","477.10","500.55","500.50","495.55","502.30","366.20","23,515,333","11,652,935,690.85","262,924"
"05-May-2023","EQ","481.65","484.70","476.15","480.80","477.20","477.10","480.72","494.40","366.20","4,830,674","2,322,202,084.75","63,390"
"04-May-2023","EQ","483.60","486.40","478.75","483.70","481.20","480.80","482.26","494.40","366.20","5,650,101","2,724,794,302.50","67,515"
"03-May-2023","EQ","480.25","485.10","477.75","480.25","483.70","483.70","482.03","494.40","366.20","8,529,233","4,111,372,753.10","161,115"
"02-May-2023","EQ","482.50","484.00","474.55","484.95","480.40","480.25","479.39","494.40","366.20","11,542,592","5,533,423,320.75","139,187"
"28-Apr-2023","EQ","481.40","488.00","478.35","481.60","484.45","484.95","484.20","494.40","366.20","9,947,813","4,816,704,436.65","106,884"
"27-Apr-2023","EQ","478.50","482.00","476.50","478.20","481.00","481.60","480.37","494.40","366.20","7,085,793","3,403,772,971.75","124,267"
"26-Apr-2023","EQ","473.00","479.50","472.60","473.55","477.45","478.20","477.25","494.40","366.20","7,791,425","3,718,453,016.55","108,326"
"25-Apr-2023","EQ","475.20","476.40","471.90","475.20","472.50","473.55","474.31","494.40","366.20","6,888,352","3,267,200,557.75","76,271"
"24-Apr-2023","EQ","471.20","476.00","468.30","471.20","474.40","475.20","472.67","494.40","366.20","8,020,593","3,791,068,991.80","101,946"
"21-Apr-2023","EQ","476.70","476.70","467.20","476.80","471.20","471.20","470.72","494.40","366.20","8,478,118","3,990,828,795.90","107,355"
"20-Apr-2023","EQ","473.70","479.70","469.40","469.40","475.50","476.80","473.98","494.40","366.20","14,264,206","6,760,945,814.45","172,014"
"19-Apr-2023","EQ","473.00","475.50","467.85","473.00","469.30","469.40","471.98","494.40","366.20","7,368,610","3,477,818,420.75","125,485"
"18-Apr-2023","EQ","475.00","483.35","468.10","472.15","472.40","473.00","475.72","494.40","366.20","16,140,056","7,678,227,613.10","179,632"
"17-Apr-2023","EQ","471.00","473.00","465.80","469.50","472.00","472.15","470.18","494.40","366.20","10,710,167","5,035,729,604.95","124,351"
"13-Apr-2023","EQ","464.95","472.00","463.25","465.50","468.85","469.50","468.31","494.40","366.20","12,733,670","5,963,327,152.20","169,558"
"12-Apr-2023","EQ","459.35","468.60","458.20","458.70","464.95","465.50","464.15","494.40","366.20","13,552,440","6,290,331,375.85","144,949"
"11-Apr-2023","EQ","463.75","463.75","455.80","461.30","459.40","458.70","459.17","494.40","366.20","14,495,222","6,655,722,381.60","281,916"
"10-Apr-2023","EQ","452.05","473.30","452.00","437.65","460.90","461.30","465.71","494.40","366.20","50,462,653","23,500,960,587.70","510,047"
"06-Apr-2023","EQ","426.50","439.30","423.75","426.55","437.15","437.65","433.76","494.40","366.20","10,907,492","4,731,208,323.35","118,995"
"05-Apr-2023","EQ","424.25","428.75","423.15","424.25","426.20","426.55","426.05","494.40","366.20","8,821,326","3,758,364,940.45","90,806"
"03-Apr-2023","EQ","423.00","424.95","419.50","420.80","424.25","424.25","422.32","494.40","366.20","6,948,329","2,934,437,512.10","87,550"
"31-Mar-2023","EQ","411.35","421.75","411.00","409.20","421.00","420.80","417.42","494.40","366.20","11,037,881","4,607,467,781.15","141,513"
"29-Mar-2023","EQ","401.60","410.60","401.60","401.60","409.95","409.20","406.81","494.40","366.20","10,478,506","4,262,801,721.70","115,284"
"28-Mar-2023","EQ","414.15","414.50","400.45","412.05","402.45","401.60","405.25","494.40","366.20","9,553,659","3,871,606,872.75","157,234"
"27-Mar-2023","EQ","416.00","418.50","410.25","416.50","412.50","412.05","413.40","494.40","366.20","7,433,933","3,073,211,591.20","152,524"
"24-Mar-2023","EQ","419.00","420.55","414.80","419.15","416.50","416.50","417.52","494.40","366.20","6,877,960","2,871,699,476.65","97,104"
"23-Mar-2023","EQ","416.00","422.50","416.00","416.10","419.20","419.15","420.00","494.40","366.20","9,817,460","4,123,336,399.35","109,864"
"22-Mar-2023","EQ","416.00","418.40","413.75","412.55","415.10","416.10","416.03","494.40","366.20","5,728,054","2,383,048,835.90","85,058"
"21-Mar-2023","EQ","412.85","413.90","407.70","410.75","412.50","412.55","411.33","494.40","366.20","7,391,950","3,040,547,652.55","127,524"
"20-Mar-2023","EQ","415.60","416.95","405.50","419.00","411.00","410.75","409.30","494.40","366.20","10,075,022","4,123,677,514.35","189,396"
"17-Mar-2023","EQ","419.00","423.45","414.55","415.70","419.00","419.00","418.77","494.40","366.20","8,658,701","3,626,008,176.85","109,426"
"16-Mar-2023","EQ","413.30","418.50","405.00","411.35","417.00","415.70","412.66","494.40","366.20","11,854,885","4,892,003,307.30","154,665"
"15-Mar-2023","EQ","422.00","425.00","410.10","416.65","413.35","411.35","416.48","494.40","366.20","7,681,009","3,198,981,535.45","129,806"
"14-Mar-2023","EQ","422.85","424.20","413.40","422.40","417.80","416.65","418.30","494.40","366.20","9,189,043","3,843,766,959.95","141,393"
"13-Mar-2023","EQ","436.10","437.00","419.10","435.85","423.10","422.40","426.90","494.40","366.20","8,780,169","3,748,214,101.50","123,062"
"10-Mar-2023","EQ","433.00","437.80","430.80","432.20","436.80","435.85","435.35","494.40","366.20","10,417,015","4,535,067,391.15","121,332"
