stock,amt,close,date
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,52907.93,2022-07-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,58115.5,2022-08-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,58766.59,2022-09-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,56788.81,2022-10-03
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,61121.35,2022-11-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,63284.19,2022-12-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,61167.79,2023-01-02
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,59708.08,2023-02-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,59411.08,2023-03-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,59106.44,2023-04-03
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,61354.71,2023-05-01
data/S&P BSE Sensex-01-06-2022-to-01-06-2023.csv,1000,62428.54,2023-06-01
