past_month,stock,txn_date,close,amt
2022-06,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv,2022-07-01,"5,607.30",200
2022-06,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv,2022-07-01,"10,931.75",200
2022-06,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-07-01,"2,595.65",200
2022-06,Quote-Equity-TATASTEEL-EQ-01-06-2022-to-01-06-2023.csv,2022-07-01,867.05,200
2022-06,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-07-01,"5,400.50",200
2022-07,Quote-Equity-BHARTIARTL-EQ-01-06-2022-to-01-06-2023.csv,2022-08-01,677.95,200
2022-07,Quote-Equity-WIPRO-EQ-01-06-2022-to-01-06-2023.csv,2022-08-01,423.7,200
2022-07,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2022-08-01,"3,301.90",200
2022-07,Quote-Equity-HCLTECH-EQ-01-06-2022-to-01-06-2023.csv,2022-08-01,948.40,200
2022-07,Quote-Equity-TATASTEEL-EQ-01-06-2022-to-01-06-2023.csv,2022-08-01,107.60,200
2022-08,Quote-Equity-INFY-EQ-01-06-2022-to-01-06-2023.csv,2022-09-01,"1,492.95",200
2022-08,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv,2022-09-01,"6,677.85",200
2022-08,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2022-09-01,"3,211.15",200
2022-08,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-09-01,"7,306.25",200
2022-08,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv,2022-09-01,"9,082.25",200
2022-09,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv,2022-10-01,"1,678.35",200
2022-09,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv,2022-10-01,"19,144.80",200
2022-09,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv,2022-10-01,"6,255.10",200
2022-09,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-10-01,"2,377.75",200
2022-09,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2022-10-01,"3,004.55",200
2022-10,Quote-Equity-WIPRO-EQ-01-06-2022-to-01-06-2023.csv,2022-11-01,386.55,200
2022-10,Quote-Equity-INDUSINDBK-EQ-01-06-2022-to-01-06-2023.csv,2022-11-01,"1,142.65",200
2022-10,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv,2022-11-01,"2,550.70",200
2022-10,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-11-01,"7,144.10",200
2022-10,Quote-Equity-ASIANPAINT-EQ-01-06-2022-to-01-06-2023.csv,2022-11-01,"3,107.70",200
2022-11,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv,2022-12-01,"20,183.85",200
2022-11,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv,2022-12-01,"1,626.50",200
2022-11,Quote-Equity-TITAN-EQ-01-06-2022-to-01-06-2023.csv,2022-12-01,"2,653.00",200
2022-11,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv,2022-12-01,"8,974.15",200
2022-11,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2022-12-01,"6,720.95",200
2022-12,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-01-01,"2,575.90",200
2022-12,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-01-01,"6,553.75",200
2022-12,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv,2023-01-01,"7,017.95",200
2022-12,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv,2023-01-01,"8,403.30",200
2022-12,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2023-01-01,"3,261.45",200
2023-01,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-02-01,"2,353.85",200
2023-01,Quote-Equity-TITAN-EQ-01-06-2022-to-01-06-2023.csv,2023-02-01,"2,377.15",200
2023-01,Quote-Equity-ASIANPAINT-EQ-01-06-2022-to-01-06-2023.csv,2023-02-01,"2,725.85",200
2023-01,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-02-01,"5,886.40",200
2023-01,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv,2023-02-01,"19,017.75",200
2023-02,Quote-Equity-M&M-EQ-01-06-2022-to-01-06-2023.csv,2023-03-01,"1,269.60",200
2023-02,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2023-03-01,"3,312.85",200
2023-02,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv,2023-03-01,"2,460.65",200
2023-02,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv,2023-03-01,"8,624.35",200
2023-02,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv,2023-03-01,"18,670.00",200
2023-03,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-04-01,"5,616.75",200
2023-03,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv,2023-04-01,"8,292.15",200
2023-03,Quote-Equity-M&M-EQ-01-06-2022-to-01-06-2023.csv,2023-04-01,"1,158.70",200
2023-03,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv,2023-04-01,"2,331.05",200
2023-03,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2023-04-01,"3,205.90",200
2023-04,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv,2023-05-01,"3,219.40",200
2023-04,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv,2023-05-01,"2,451.70",200
2023-04,Quote-Equity-TECHM-EQ-01-06-2022-to-01-06-2023.csv,2023-05-01,"1,053.45",200
2023-04,Quote-Equity-INFY-EQ-01-06-2022-to-01-06-2023.csv,2023-05-01,"1,277.45",200
2023-04,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv,2023-05-01,"7,456.60",200
2023-05,Quote-Equity-SUNPHARMA-EQ-01-06-2022-to-01-06-2023.csv,2023-06-01,975.35,200
2023-05,Quote-Equity-HDFCBANK-EQ-01-06-2022-to-01-06-2023.csv,2023-06-01,"1,610.85",200
2023-05,Quote-Equity-HDFC-EQ-01-06-2022-to-01-06-2023.csv,2023-06-01,"2,640.40",200
2023-05,Quote-Equity-LT-EQ-01-06-2022-to-01-06-2023.csv,2023-06-01,"2,205.65",200
2023-05,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv,2023-06-01,"21,673.10",200
