past_month,stock
2023-05,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv
2023-05,Quote-Equity-LT-EQ-01-06-2022-to-01-06-2023.csv
2023-05,Quote-Equity-HDFC-EQ-01-06-2022-to-01-06-2023.csv
2023-05,Quote-Equity-HDFCBANK-EQ-01-06-2022-to-01-06-2023.csv
2023-05,Quote-Equity-SUNPHARMA-EQ-01-06-2022-to-01-06-2023.csv
2023-04,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv
2023-04,Quote-Equity-INFY-EQ-01-06-2022-to-01-06-2023.csv
2023-04,Quote-Equity-TECHM-EQ-01-06-2022-to-01-06-2023.csv
2023-04,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv
2023-04,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2023-03,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2023-03,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv
2023-03,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2023-03,Quote-Equity-M&M-EQ-01-06-2022-to-01-06-2023.csv
2023-03,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv
2023-02,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv
2023-02,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv
2023-02,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv
2023-02,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2023-02,Quote-Equity-M&M-EQ-01-06-2022-to-01-06-2023.csv
2023-01,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv
2023-01,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2023-01,Quote-Equity-ASIANPAINT-EQ-01-06-2022-to-01-06-2023.csv
2023-01,Quote-Equity-TITAN-EQ-01-06-2022-to-01-06-2023.csv
2023-01,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-12,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv
2022-12,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv
2022-12,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-12,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2022-12,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-11,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv
2022-11,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-11,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv
2022-11,Quote-Equity-TITAN-EQ-01-06-2022-to-01-06-2023.csv
2022-11,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv
2022-10,Quote-Equity-ASIANPAINT-EQ-01-06-2022-to-01-06-2023.csv
2022-10,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-10,Quote-Equity-HINDUNILVR-EQ-01-06-2022-to-01-06-2023.csv
2022-10,Quote-Equity-INDUSINDBK-EQ-01-06-2022-to-01-06-2023.csv
2022-10,Quote-Equity-WIPRO-EQ-01-06-2022-to-01-06-2023.csv
2022-09,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv
2022-09,Quote-Equity-NESTLEIND-EQ-01-06-2022-to-01-06-2023.csv
2022-09,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv
2022-09,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-09,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2022-08,Quote-Equity-MARUTI-EQ-01-06-2022-to-01-06-2023.csv
2022-08,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-08,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2022-08,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv
2022-08,Quote-Equity-INFY-EQ-01-06-2022-to-01-06-2023.csv
2022-07,Quote-Equity-TATASTEEL-EQ-01-06-2022-to-01-06-2023.csv
2022-07,Quote-Equity-HCLTECH-EQ-01-06-2022-to-01-06-2023.csv
2022-07,Quote-Equity-TCS-EQ-01-06-2022-to-01-06-2023.csv
2022-07,Quote-Equity-WIPRO-EQ-01-06-2022-to-01-06-2023.csv
2022-07,Quote-Equity-BHARTIARTL-EQ-01-06-2022-to-01-06-2023.csv
2022-06,Quote-Equity-BAJAJFINSV-EQ-01-06-2022-to-01-06-2023.csv
2022-06,Quote-Equity-BAJFINANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-06,Quote-Equity-TATASTEEL-EQ-01-06-2022-to-01-06-2023.csv
2022-06,Quote-Equity-RELIANCE-EQ-01-06-2022-to-01-06-2023.csv
2022-06,Quote-Equity-ULTRACEMCO-EQ-01-06-2022-to-01-06-2023.csv
